"iso2","year","legal_form","number_firms_orbis","number_firms_eurostat","number_balance_sheets","number_income_statements","bs_share","is_share"
"SI",2022,"Sole proprietorship",141938,NA,0,0,0,0
"SK",2010,"Limited liability enterprise",124635,112399,119825,112488,0.961407309343282,0.902539415092069
"SK",2010,"Partnership, co-operatives, associations, etc.",1937,2678,1724,1623,0.890036138358286,0.837893649974187
"SK",2010,"Sole proprietorship",191260,259037,211,85,0.00110321028965806,0.000444421206734288
"SK",2011,"Limited liability enterprise",140317,133494,137989,123695,0.983408995346252,0.88153965663462
"SK",2011,"Partnership, co-operatives, associations, etc.",2099,4720,1863,1682,0.887565507384469,0.801333968556455
"SK",2011,"Sole proprietorship",202623,283695,112,64,0.000552750674898704,0.000315857528513545
"SK",2012,"Limited liability enterprise",157200,124693,153443,130610,0.976100508905852,0.830852417302799
"SK",2012,"Partnership, co-operatives, associations, etc.",2263,4524,1982,1713,0.87582854617764,0.756959787892179
"SK",2012,"Sole proprietorship",213859,275152,55,50,0.000257178795374522,0.00023379890488593
"SK",2013,"Limited liability enterprise",180308,134049,170061,134018,0.943169465581117,0.743272622401668
"SK",2013,"Partnership, co-operatives, associations, etc.",2425,1457,2079,1639,0.857319587628866,0.675876288659794
"SK",2013,"Sole proprietorship",228015,263389,22,15,9.64848803806767e-05,6.57851457140978e-05
"SK",2014,"Limited liability enterprise",190851,144215,175616,91263,0.920173328931994,0.47818979203672
"SK",2014,"Partnership, co-operatives, associations, etc.",2578,1711,2121,1414,0.822730799069046,0.548487199379364
"SK",2014,"Sole proprietorship",243781,292141,17,11,6.97347209175449e-05,4.51224664760584e-05
"SK",2015,"Limited liability enterprise",198812,162703,175361,80505,0.882044343399795,0.404930285898236
"SK",2015,"Partnership, co-operatives, associations, etc.",2587,1915,2074,1283,0.801700811751063,0.495941244684963
"SK",2015,"Sole proprietorship",243118,281853,4,1,1.64529158680147e-05,4.11322896700368e-06
"SK",2016,"Limited liability enterprise",214576,171699,183566,71823,0.855482439788234,0.334720565207665
"SK",2016,"Partnership, co-operatives, associations, etc.",2627,1960,2021,1176,0.769318614389037,0.447658926532166
"SK",2016,"Sole proprietorship",264609,280532,3,1,1.13374828520572e-05,3.77916095068573e-06
"SK",2017,"Limited liability enterprise",232905,180428,193912,66480,0.832579807217535,0.285438268822052
"SK",2017,"Partnership, co-operatives, associations, etc.",2683,2012,2052,1136,0.764815505031681,0.423406634364517
"SK",2017,"Sole proprietorship",293990,298949,2,1,6.80295248137692e-06,3.40147624068846e-06
"SK",2018,"Limited liability enterprise",250681,188748,206562,64416,0.824003414698362,0.256964029982328
"SK",2018,"Partnership, co-operatives, associations, etc.",2780,1992,2151,1144,0.773741007194245,0.411510791366906
"SK",2018,"Sole proprietorship",322133,311323,1,0,3.10430784800067e-06,0
"SK",2019,"Limited liability enterprise",269921,197370,215611,63471,0.798792980168271,0.235146579925237
"SK",2019,"Partnership, co-operatives, associations, etc.",2870,1909,2172,1130,0.756794425087108,0.393728222996516
"SK",2019,"Sole proprietorship",356851,322374,1,0,2.80229003141367e-06,0
"SK",2020,"Limited liability enterprise",287257,204124,223611,62126,0.778435338390361,0.216273232680144
"SK",2020,"Partnership, co-operatives, associations, etc.",2924,1765,2149,1114,0.734952120383037,0.380984952120383
"SK",2020,"Sole proprietorship",390423,321787,1,0,2.56132451213171e-06,0
"SK",2021,"Limited liability enterprise",305786,NA,146612,39081,0.479459491278214,0.127805066288188
"SK",2021,"Partnership, co-operatives, associations, etc.",3000,NA,1415,778,0.471666666666667,0.259333333333333
"SK",2021,"Sole proprietorship",399906,NA,0,0,0,0
"SK",2022,"Limited liability enterprise",314845,NA,187,118,0.000593943051342724,0.000374787593895409
"SK",2022,"Partnership, co-operatives, associations, etc.",3030,NA,3,2,0.00099009900990099,0.00066006600660066
"SK",2022,"Sole proprietorship",400253,NA,0,0,0,0
"TR",2010,"Limited liability enterprise",241215,465482,15899,300,0.0659121530584748,0.00124370374976681
"TR",2010,"Partnership, co-operatives, associations, etc.",37007,51616,153,0,0.00413435296025076,0
"TR",2010,"Sole proprietorship",134523,1986101,661,0,0.00491365788749879,0
"TR",2011,"Limited liability enterprise",275150,484362,19846,325,0.0721279302198801,0.00118117390514265
"TR",2011,"Partnership, co-operatives, associations, etc.",37210,52911,209,0,0.0056167696855684,0
"TR",2011,"Sole proprietorship",168656,2019782,1146,0,0.00679489611991272,0
"TR",2012,"Limited liability enterprise",300233,489502,22044,342,0.0734229748228876,0.001139115287127
"TR",2012,"Partnership, co-operatives, associations, etc.",37546,55419,254,0,0.00676503489053428,0
"TR",2012,"Sole proprietorship",205267,2073598,1686,0,0.00821369241037283,0
"TR",2013,"Limited liability enterprise",303014,496269,22333,353,0.0737028652141485,0.00116496267499191
"TR",2013,"Partnership, co-operatives, associations, etc.",37137,56599,248,0,0.00667797614239168,0
"TR",2013,"Sole proprietorship",198938,2114278,1858,0,0.00933959324010496,0
"TR",2014,"Limited liability enterprise",300319,510708,22762,350,0.0757927403860562,0.00116542742883401
"TR",2014,"Partnership, co-operatives, associations, etc.",35089,55083,249,0,0.00709624098720397,0
"TR",2014,"Sole proprietorship",193218,2138039,1780,0,0.00921239222018653,0
"TR",2015,"Limited liability enterprise",287358,532754,22996,358,0.0800256126504221,0.00124583272433689
"TR",2015,"Partnership, co-operatives, associations, etc.",34207,55763,230,0,0.00672376998859882,0
"TR",2015,"Sole proprietorship",185924,2159527,1648,0,0.00886383683655687,0
"TR",2016,"Limited liability enterprise",285318,555501,22991,362,0.0805802648273155,0.00126875976980071
"TR",2016,"Partnership, co-operatives, associations, etc.",33300,56608,232,0,0.00696696696696697,0
"TR",2016,"Sole proprietorship",181591,2174457,1571,0,0.00865130981160961,0
"TR",2017,"Limited liability enterprise",284002,584773,23791,370,0.0837705368272054,0.00130280772670615
"TR",2017,"Partnership, co-operatives, associations, etc.",32767,57390,214,0,0.0065309610278634,0
"TR",2017,"Sole proprietorship",178142,2246164,1351,0,0.007583837612691,0
"TR",2018,"Limited liability enterprise",280910,617580,21392,384,0.0761525043608273,0.00136698586735965
"TR",2018,"Partnership, co-operatives, associations, etc.",32378,56846,165,0,0.00509605287540923,0
"TR",2018,"Sole proprietorship",175381,2249078,1119,0,0.00638039468357462,0
"TR",2019,"Limited liability enterprise",279700,645018,17169,380,0.0613836253128352,0.00135859849839113
"TR",2019,"Partnership, co-operatives, associations, etc.",32311,53901,120,0,0.00371390548110551,0
"TR",2019,"Sole proprietorship",174983,2279686,593,0,0.00338890063606179,0
"TR",2020,"Limited liability enterprise",278326,674751,12758,387,0.0458383334650733,0.00139045579644015
"TR",2020,"Partnership, co-operatives, associations, etc.",32287,53268,73,0,0.00226097190819835,0
"TR",2020,"Sole proprietorship",174716,2322837,332,0,0.0019002266535406,0
"TR",2021,"Limited liability enterprise",276761,NA,868,410,0.00313628003945643,0.00148142259928241
"TR",2021,"Partnership, co-operatives, associations, etc.",32276,NA,6,0,0.000185896641467344,0
"TR",2021,"Sole proprietorship",174542,NA,17,0,9.73977609973531e-05,0
"TR",2022,"Limited liability enterprise",275392,NA,1,1,3.63118754357425e-06,3.63118754357425e-06
"TR",2022,"Partnership, co-operatives, associations, etc.",32267,NA,1,0,3.09914153779403e-05,0
"TR",2022,"Sole proprietorship",174539,NA,0,0,0,0
