"iso2","year","number_firms"
"BB",2006,24303
"BB",2007,25958
"BB",2008,27620
"BB",2009,28930
"BB",2010,30267
"BB",2011,31595
"BB",2012,32802
"BB",2013,34053
"BB",2014,35358
"BB",2015,36638
"BB",2016,37873
"BB",2017,39002
"BB",2018,39750
"BB",2019,39750
"BB",2020,39750
"BB",2021,39750
"BB",2022,39750
"BD",2000,328
"BD",2001,344
"BD",2002,366
"BD",2003,382
"BD",2004,398
"BD",2005,407
"BD",2006,423
"BD",2007,440
"BD",2008,450
"BD",2009,464
"BD",2010,485
"BD",2011,493
"BD",2012,501
"BD",2013,512
"BD",2014,519
"BD",2015,521
"BD",2016,525
"BD",2017,525
"BD",2018,525
"BD",2019,527
"BD",2020,527
"BD",2021,528
"BD",2022,528
"BE",2000,754199
"BE",2001,795471
"BE",2002,838515
"BE",2003,883898
"BE",2004,933346
"BE",2005,989351
"BE",2006,1052294
"BE",2007,1124028
"BE",2008,1197278
"BE",2009,1268672
"BE",2010,1349867
"BE",2011,1437078
"BE",2012,1521692
"BE",2013,1596107
"BE",2014,1680728
"BE",2015,1762975
"BE",2016,1812006
"BE",2017,1857813
"BE",2018,1927015
"BE",2019,2004165
"BE",2020,2042640
"BE",2021,2118475
"BE",2022,2106765
"BF",2000,62
"BF",2001,74
"BF",2002,85
"BF",2003,98
"BF",2004,106
"BF",2005,121
"BF",2006,137
"BF",2007,146
"BF",2008,163
"BF",2009,178
"BF",2010,194
"BF",2011,214
"BF",2012,279
"BF",2013,296
"BF",2014,363
"BF",2015,606
"BF",2016,635
"BF",2017,2970
"BF",2018,5315
"BF",2019,8973
"BF",2020,13092
"BF",2021,16590
"BF",2022,16590
"BG",2000,304392
"BG",2001,343179
"BG",2002,370504
"BG",2003,401775
"BG",2004,437960
"BG",2005,524465
"BG",2006,608091
"BG",2007,693432
"BG",2008,792624
"BG",2009,879700
"BG",2010,946824
"BG",2011,1021958
"BG",2012,1100333
"BG",2013,1153577
"BG",2014,1197634
"BG",2015,1249976
"BG",2016,1321697
"BG",2017,1389022
"BG",2018,1450054
"BG",2019,1507149
"BG",2020,1544477
"BG",2021,1591771
"BG",2022,1607216
"BH",2000,14646
"BH",2001,15535
"BH",2002,16693
"BH",2003,18168
"BH",2004,19697
"BH",2005,21964
"BH",2006,24681
"BH",2007,27664
"BH",2008,30720
"BH",2009,33487
"BH",2010,36728
"BH",2011,38744
"BH",2012,40524
"BH",2013,42650
"BH",2014,45120
"BH",2015,47863
"BH",2016,58401
"BH",2017,65421
"BH",2018,69427
"BH",2019,75930
"BH",2020,81821
"BH",2021,83605
"BH",2022,82908
"BI",2000,50
"BI",2001,52
"BI",2002,57
"BI",2003,58
"BI",2004,60
"BI",2005,62
"BI",2006,64
"BI",2007,67
"BI",2008,71
"BI",2009,73
"BI",2010,74
"BI",2011,84
"BI",2012,88
"BI",2013,89
"BI",2014,92
"BI",2015,94
"BI",2016,96
"BI",2017,97
"BI",2018,101
"BI",2019,101
"BI",2020,101
"BI",2021,103
"BI",2022,103
"BJ",2000,299
"BJ",2001,324
"BJ",2002,376
"BJ",2003,436
"BJ",2004,476
"BJ",2005,526
"BJ",2006,587
"BJ",2007,712
"BJ",2008,821
"BJ",2009,967
"BJ",2010,1115
"BJ",2011,1305
"BJ",2012,1470
"BJ",2013,3498
"BJ",2014,3510
"BJ",2015,3523
"BJ",2016,3534
"BJ",2017,5221
"BJ",2018,5947
"BJ",2019,5951
"BJ",2020,5952
"BJ",2021,5959
"BJ",2022,5958
"BN",2000,5188
"BN",2001,5412
"BN",2002,5697
"BN",2003,6006
"BN",2004,6276
"BN",2005,6650
"BN",2006,6985
"BN",2007,7313
"BN",2008,7648
"BN",2009,7966
"BN",2010,8356
"BN",2011,8741
"BN",2012,9226
"BN",2013,9707
"BN",2014,10176
"BN",2015,10184
"BN",2016,10184
"BN",2017,10184
"BN",2018,10185
"BN",2019,10185
"BN",2020,10186
"BN",2021,10186
"BN",2022,10186
"BO",2000,41708
"BO",2001,44416
"BO",2002,47978
"BO",2003,51662
"BO",2004,56069
"BO",2005,62058
"BO",2006,69377
"BO",2007,77769
"BO",2008,86423
"BO",2009,98317
"BO",2010,111011
"BO",2011,124507
"BO",2012,149118
"BO",2013,210206
"BO",2014,251941
"BO",2015,271618
"BO",2016,279065
"BO",2017,280383
"BO",2018,298354
"BO",2019,311133
"BO",2020,311474
"BO",2021,119814
"BO",2022,119814
"BR",2000,4954816
"BR",2001,5380684
"BR",2002,5794465
"BR",2003,6239939
"BR",2004,6677470
"BR",2005,7148287
"BR",2006,7781911
"BR",2007,8400866
"BR",2008,9056595
"BR",2009,9787403
"BR",2010,11117527
"BR",2011,12648286
"BR",2012,14223619
"BR",2013,15983284
"BR",2014,17851129
"BR",2015,19925144
"BR",2016,21432316
"BR",2017,22846844
"BR",2018,24657741
"BR",2019,25343123
"BR",2020,28168411
"BR",2021,31295032
"BR",2022,30938085
"BS",2000,83
"BS",2001,84
"BS",2002,86
"BS",2003,88
"BS",2004,89
"BS",2005,90
"BS",2006,93
"BS",2007,94
"BS",2008,95
"BS",2009,98
"BS",2010,98
"BS",2011,99
"BS",2012,100
"BS",2013,100
"BS",2014,100
"BS",2015,100
"BS",2016,100
"BS",2017,99
"BS",2018,99
"BS",2019,90
"BS",2020,89
"BS",2021,86
"BS",2022,86
"BT",2000,12
"BT",2001,13
"BT",2002,13
"BT",2003,13
"BT",2004,13
"BT",2005,15
"BT",2006,15
"BT",2007,15
"BT",2008,15
"BT",2009,16
"BT",2010,18
"BT",2011,18
"BT",2012,18
"BT",2013,19
"BT",2014,19
"BT",2015,20
"BT",2016,20
"BT",2017,20
"BT",2018,20
"BT",2019,20
"BT",2020,20
"BT",2021,20
"BT",2022,20
"BW",2000,9350
"BW",2001,10337
"BW",2002,11443
"BW",2003,13216
"BW",2004,15004
"BW",2005,16570
"BW",2006,18430
"BW",2007,20621
"BW",2008,22995
"BW",2009,26064
"BW",2010,29945
"BW",2011,33953
"BW",2012,39118
"BW",2013,44528
"BW",2014,50969
"BW",2015,59646
"BW",2016,71488
"BW",2017,83276
"BW",2018,96080
"BW",2019,117452
"BW",2020,149063
"BW",2021,197575
"BW",2022,199222
"BY",2000,55510
"BY",2001,63817
"BY",2002,70838
"BY",2003,78968
"BY",2004,85969
"BY",2005,93902
"BY",2006,103460
"BY",2007,124698
"BY",2008,143275
"BY",2009,168891
"BY",2010,192344
"BY",2011,217591
"BY",2012,249247
"BY",2013,286809
"BY",2014,314043
"BY",2015,337081
"BY",2016,359563
"BY",2017,389168
"BY",2018,423003
"BY",2019,445718
"BY",2020,449997
"BY",2021,446722
"BY",2022,415451
"BZ",2000,11
"BZ",2001,11
"BZ",2002,12
"BZ",2003,12
"BZ",2004,12
"BZ",2005,12
"BZ",2006,12
"BZ",2007,13
"BZ",2008,13
"BZ",2009,13
"BZ",2010,13
"BZ",2011,13
"BZ",2012,13
"BZ",2013,14
"BZ",2014,14
"BZ",2015,14
"BZ",2016,14
"BZ",2017,14
"BZ",2018,14
"BZ",2019,44720
"BZ",2020,35768
"BZ",2021,35323
"BZ",2022,35323
"CA",2000,216417
"CA",2001,217917
"CA",2002,228299
"CA",2003,235566
"CA",2004,242285
"CA",2005,235859
"CA",2006,242167
"CA",2007,250307
"CA",2008,260867
"CA",2009,269406
"CA",2010,284033
"CA",2011,304860
"CA",2012,323136
"CA",2013,341265
"CA",2014,364140
"CA",2015,384334
"CA",2016,394396
"CA",2017,412444
"CA",2018,438158
"CA",2019,460531
"CA",2020,492178
"CA",2021,489718
"CA",2022,489356
"CD",2000,80
"CD",2001,85
"CD",2002,96
"CD",2003,104
"CD",2004,121
"CD",2005,125
"CD",2006,129
"CD",2007,135
"CD",2008,144
"CD",2009,159
"CD",2010,166
"CD",2011,172
"CD",2012,188
"CD",2013,3834
"CD",2014,26871
"CD",2015,38421
"CD",2016,47951
"CD",2017,57206
"CD",2018,66958
"CD",2019,78282
"CD",2020,89384
"CD",2021,99481
"CD",2022,99481
"CF",2000,9
"CF",2001,9
"CF",2002,9
"CF",2003,9
"CF",2004,10
"CF",2005,11
"CF",2006,11
"CF",2007,12
"CF",2008,13
"CF",2009,13
"CF",2010,13
"CF",2011,13
"CF",2012,13
"CF",2013,13
"CF",2014,15
"CF",2015,15
"CF",2016,16
"CF",2017,16
"CF",2018,17
"CF",2019,17
"CF",2020,17
"CF",2021,17
"CF",2022,17
"CG",2000,98
"CG",2001,113
"CG",2002,129
"CG",2003,142
"CG",2004,159
"CG",2005,172
"CG",2006,182
"CG",2007,196
"CG",2008,217
"CG",2009,240
"CG",2010,252
"CG",2011,272
"CG",2012,288
