iso2,year,gdp,population
ES,1961,13834300571,30739250
EE,1961,,1225077
ET,1961,,22281675
FI,1961,5921659485,4461005
FJ,1961,116987784.9,414534
FR,1961,67461644222,47161641
FM,1961,,44563
GA,1961,167637908.5,519329
GB,1961,77741965703,52800000
GE,1961,,3703600
GH,1961,1302521008,7109029
GN,1961,,3578631
GM,1961,,410801
GW,1961,,583107
GQ,1961,,272264
GR,1961,4961400439,8398050
GD,1961,,95096
GT,1961,1076699900,4251911
GY,1961,185848451.3,588597
HN,1961,356200000,2139928
HR,1961,,4167292
HT,1961,271066000,3974934
HU,1961,,10029321
ID,1961,,90816938
IN,1961,39232435784,456351876
IE,1961,2088012282,2824400
IR,1961,4426949095,21983622
IQ,1961,1831700364,7260714
IS,1961,253885656.3,179029
IL,1961,3138500000,2185000
IT,1961,44842760293,50536350
JM,1961,748028839.4,1663754
JO,1961,,891848
JP,1961,53508617739,94055000
KZ,1961,,9639302
KE,1961,792959472.1,8047470
KG,1961,,2255900
KH,1961,642857134.3,5664654
KI,1961,,48275
KN,1961,12483229.31,56247
KR,1961,2417558289,25765673
KW,1961,,339697
LA,1961,,2171141
LB,1961,,1853295
LR,1961,,1165005
LY,1961,,1478760
LC,1961,,92761
LI,1961,,16834
LK,1961,1444327731,10111639
LS,1961,35699286.01,760895
LT,1961,,2823550
LU,1961,704145671.4,316845
LV,1961,,2152681
MA,1961,2025689537,12081713
MC,1961,,21907
MD,1961,,2127854
MG,1961,699161943.9,5206239
MV,1961,,93952
MX,1961,14160000000,37439317
MH,1961,,15867
MK,1961,,1481112
ML,1961,,5420247
MT,1961,,325250
MM,1961,584351384.5,22203109
ME,1961,,491140
MN,1961,,1011502
MZ,1961,,6917521
MR,1961,159213140,861663
MU,1961,,680757
MW,1961,174576508.5,3708193
MY,1961,1901868548,8074805
NA,1961,,601424
NE,1961,485785234.9,3602530
NG,1961,4467200336,45855507
NI,1961,240524723.4,1844630
NL,1961,13493833740,11638712
NO,1961,5632460937,3609800
NP,1961,531959561.6,10365144
NR,1961,,4753
NZ,1961,5670064168,2419700
OM,1961,,546443
PK,1961,4118647627,47060915
PA,1961,599026300,1160832
PE,1961,2899654840,10478096
PH,1961,8171186335,29342411
PW,1961,,9639
PG,1961,244832035,2035672
PL,1961,,29964000
KP,1961,,11916515
PT,1961,3417516639,8929316
PY,1961,,1941208
QA,1961,,40111
RO,1961,,18555250
RU,1961,,121236000
RW,1961,122000016,3046654
SA,1961,,4306048
SD,1961,1419333333,8577490
SN,1961,1058975266,3367082
SG,1961,764634783.7,1702400
SB,1961,,136780
SL,1961,327834680.6,2341065
SV,1961,,2858896
SM,1961,,15895
SO,1961,191659914.4,2945662
RS,1961,,6655000
SS,1961,,2948953
ST,1961,,68705
SR,1961,107700000,277969
SK,1961,,4191667
SI,1961,,1594131
SE,1961,17212686615,7519998
SZ,1961,43025199.5,352971
SC,1961,11592011.59,42889
SY,1961,945244972.1,4751534
TD,1961,333975338.8,3087657
TG,1961,126396469.7,1678788
TH,1961,3034043574,27399963
TJ,1961,,2208026
TM,1961,,1658569
TL,1961,,475796
TO,1961,,69391
TT,1961,584961208.7,865028
TN,1961,,4236386
TR,1961,7988888889,28255002
TV,1961,,5436
TZ,1961,,10337891
UG,1961,441524109,7838440
UA,1961,,43365219
UY,1961,1547388781,2561153
US,1961,5.633E+11,183691000
UZ,1961,,8692048
VC,1961,13999883.33,85666
VE,1961,8189090909,8453106
VN,1961,,33621982
VU,1961,,66462
WS,1961,,116820
YE,1961,,5646668
ZA,1961,9225996313,16989464
ZM,1961,696285714.3,3219451
ZW,1961,1096646600,3925952
AF,1962,546666677.8,8969047
AO,1962,,5521400
AL,1962,,1711319
AD,1962,,11014
AE,1962,,148877
AR,1962,24450604877,21020359
AM,1962,,2039346
AG,1962,,57008
AU,1962,19922723709,10742000
AT,1962,7756110210,7129864
AZ,1962,,4168150
BI,1962,213500006,2887398
BE,1962,13264015675,9220578
BJ,1962,236434906.8,2593302
BF,1962,379567023.3,4924497
BD,1962,5081413340,53461661
BG,1962,,8012946
BH,1962,,173359
BS,1962,212254902,126305
BA,1962,,3387512
BY,1962,,8351928
BZ,1962,31856922.86,96188
BO,1962,444665186.4,3864140
BR,1962,19231747852,77599218
BB,1962,,234829
BN,1962,,93837
BT,1962,,233417
BW,1962,35643207.63,536428
CF,1962,124482748.9,1742502
CA,1962,42227447632,18614000
CH,1962,11879982759,5573815
CL,1962,5416272727,8486120
CN,1962,47209359006,665770000
CI,1962,645284344.7,3998287
CM,1962,694247725.5,5303841
CD,1962,3779841429,16086084
CG,1962,166521239.9,1112348
CO,1962,4955543963,16691282
KM,1962,,202527
CV,1962,,221484
CR,1962,479180824.4,1447037
CU,1962,,7574265
CY,1962,,601095
CZ,1962,,9624660
DE,1962,,74025784
DJ,1962,,93122
DM,1962,,61224
DK,1962,,4647727
DO,1962,824100000,3521164
DZ,1962,2001428328,11778260
EC,1962,1518208221,4890425
EG,1962,,28485022
ER,1962,,1041552
ES,1962,16138545209,31023366
EE,1962,,1241623
ET,1962,,22852158
FI,1962,6340580854,4491443
FJ,1962,122906435,427695
FR,1962,75607529810,47679792
FM,1962,,46200
GA,1962,182796536.5,525754
GB,1962,81247564157,53250000
GE,1962,,3760300
GH,1962,1382352941,7281192
GN,1962,,3642324
GM,1962,,422310
GW,1962,,590399
GQ,1962,9122751.45,277490
GR,1962,5213047711,8448233
GD,1962,,96052
GT,1962,1143600000,4378604
GY,1962,194948375.4,604833
HN,1962,387750000,2202854
HR,1962,,4196712
HT,1962,281896800,4049504
HU,1962,,10061734
ID,1962,,93345489
IN,1962,42161481858,467024193
IE,1962,2260349684,2836050
IR,1962,4693566416,22605050
IQ,1962,1954634836,7481832
IS,1962,284916516.2,182378
IL,1962,2510000000,2293000
IT,1962,50383891899,50879450
JM,1962,777712445.8,1683761
JO,1962,,934615
JP,1962,60723018684,94933000
KZ,1962,,9959414
KE,1962,868111400,8363578
KG,1962,,2333400
KH,1962,660000008.6,5788854
KI,1962,,49508
KN,1962,12541562.15,55404
KR,1962,2814318517,26513030
KW,1962,,378190
LA,1962,,2221615
LB,1962,,1911959
LR,1962,,1194085
LY,1962,,1535157
LC,1962,,93823
LI,1962,,17221
LK,1962,1434156379,10352180
LS,1962,41859162.82,784681
LT,1962,,2863350
LU,1962,741509480.8,320750
LV,1962,,2181586
MA,1962,2379606422,12404757
MC,1962,,22106
MD,1962,,2177676
MG,1962,739286906.9,5343117
MV,1962,,96332
MX,1962,15200000000,38683283
MH,1962,,16387
MK,1962,,1497338
ML,1962,,5494845
MT,1962,,323900
MM,1962,612517344.8,22699703
ME,1962,,502558
MN,1962,,1045315
MZ,1962,,7060376
MR,1962,164271590.8,885938
MU,1962,,700349
MW,1962,183116337.7,3799155
MY,1962,2001502679,8324218
NA,1962,,613808
NE,1962,531736492.9,3711068
NG,1962,4909302954,46821845
NI,1962,265291588.7,1901451
NL,1962,14647057370,11805689
NO,1962,6066976683,3638918
NP,1962,574091101.2,10570716
NR,1962,,4950
NZ,1962,6077496268,2482000
OM,1962,,557139
PK,1962,4310163797,48161841
PA,1962,652120900,1196289
PE,1962,3286773188,10792094
PH,1962,4954529277,30185979
PW,1962,,9851
PG,1962,261184037.4,2082562
PL,1962,,30308500
KP,1962,,12180505
PT,1962,3668222358,8993985
PY,1962,,1989376
QA,1962,,45123
RO,1962,,18676550
RU,1962,,122591000
RW,1962,125000008,3122124
SA,1962,,4458516
SD,1962,1541666667,8841338
SN,1962,1085475574,3463524
SG,1962,826244610,1750200
SB,1962,,140254
SL,1962,342721579.8,2382914
SV,1962,,2937821
SM,1962,,16242
SO,1962,203531927.6,3022827
RS,1962,,6696000
SS,1962,,2992270
ST,1962,,69520
SR,1962,116150000,288291
SK,1962,,4238188
SI,1962,,1603649
SE,1962,18667251380,7561588
SZ,1962,45927061.46,361070
SC,1962,12642026.57,44042
SY,1962,1110565881,4894995
TD,1962,357635713.9,3148242
TG,1962,132237441.6,1706841
TH,1962,3308912797,28242174
TJ,1962,,2287181
TM,1962,,1716868
TL,1962,,483324
TO,1962,,71388
TT,1962,619319197.3,881519
TN,1962,,4281744
TR,1962,8922222222,29033647
TV,1962,,5471
TZ,1962,,10644622
UG,1962,449012578.6,8068828
UA,1962,,43924755
UY,1962,1710004407,2592441
US,1962,6.051E+11,186538000
UZ,1962,,9038222
VC,1962,14524878.96,87183
VE,1962,8946969697,8754082
VN,1962,,34533889
VU,1962,,68391
WS,1962,,120163
YE,1962,,5753386
ZA,1962,9813996079,17503133
ZM,1962,693142857.1,3323427
ZW,1962,1117601600,4049778
AF,1963,751111191.1,9157465
AO,1963,,5599827
AL,1963,,1762621
AD,1963,,11839
AE,1963,,157006
AR,1963,18272123664,21364017
AM,1963,,2106142
AG,1963,,57778
AU,1963,21539926084,10950000
AT,1963,8374175258,7175811
AZ,1963,,4293550
BI,1963,232749998,2948133
BE,1963,14260017387,9289770
BJ,1963,253927646.5,2638082
BF,1963,394040588.3,4998671
BD,1963,5319458351,55094115
BG,1963,,8078145
BH,1963,,179891
BS,1963,237745098,132639
BA,1963,,3448532
BY,1963,,8437232
BZ,1963,33749405.01,98862
BO,1963,478805990.1,3945729
BR,1963,23287712878,79915555
BB,1963,,235875
BN,1963,,98277
BT,1963,,240268
BW,1963,38091150.57,549041
CF,1963,129379097.9,1776214
CA,1963,45029988561,18964000
CH,1963,13063643796,5694247
CL,1963,5668187500,8656006
CN,1963,50706799903,682335000
CI,1963,761047045.8,4156453
CM,1963,718320701.4,5427511
CD,1963,6213185743,16517995
CG,1963,172233430.9,1142600
CO,1963,4836166667,17210956
KM,1963,,206546
CV,1963,,228814
CR,1963,511902136.8,1498647
CU,1963,,7736352
CY,1963,,607072
CZ,1963,,9670685
DE,1963,,74714353
DJ,1963,,97670
DM,1963,,62031
DK,1963,,4684483
DO,1963,940799900,3635798
DZ,1963,2702960118,11969451
EC,1963,1824344492,5034334
EG,1963,,29245936
ER,1963,,1067295
ES,1963,19074913948,31296651
EE,1963,,1258857
ET,1963,,23448979
FI,1963,6885920329,4523309
FJ,1963,129454728.6,441385
FR,1963,84759195106,48189939
FM,1963,,47758
GA,1963,154480244.2,532592
GB,1963,86561961812,53650000
GE,1963,,3816100
GH,1963,1540616247,7458243
GN,1963,,3707945
GM,1963,,434173
GW,1963,,595802
GQ,1963,10840095.13,283018
GR,1963,5895278024,8479625
GD,1963,,96882
GT,1963,1262800000,4508444
GY,1963,175756868.7,620703
HN,1963,410200000,2267708
HR,1963,,4225675
HT,1963,294883400,4122260
HU,1963,,10087947
ID,1963,,95962527
IN,1963,48421923459,477933619
IE,1963,2430843768,2852650
IR,1963,4928628018,23259094
IQ,1963,1978437693,7735824
IS,1963,340061650.1,185653
IL,1963,2992333333,2379000
IT,1963,57710743060,51252000
JM,1963,826690466.2,1703868
JO,1963,,978607
JP,1963,69498131797,95900000
KZ,1963,,10277790
KE,1963,926589348.6,8697200
KG,1963,,2413700
KH,1963,728571437.1,5913680
KI,1963,,50780
KN,1963,12833226.39,54391
KR,1963,3988784572,27261747
KW,1963,,420494
LA,1963,,2273219
LB,1963,,1971511
LR,1963,,1224169
LY,1963,,1594758
LC,1963,,94887
LI,1963,,17625
LK,1963,1240672269,10597516
LS,1963,47039059.22,809138
LT,1963,,2898950
LU,1963,791140595.8,324100
LV,1963,,2210919
MA,1963,2657247327,12726686
MC,1963,,22442
MD,1963,,2222675
MG,1963,759345863,5484252
MV,1963,,98775
MX,1963,16960000000,39982118
MH,1963,,16947
MK,1963,,1511854
ML,1963,,5570462
MT,1963,,322550
MM,1963,659976659.6,23210687
ME,1963,,513409
MN,1963,,1075888
MZ,1963,,7209807
MR,1963,168186331.3,911290
MU,1963,,718861
MW,1963,190816183.7,3893628
MY,1963,2510126748,8579350
NA,1963,,627358
NE,1963,586294761.5,3822697
NG,1963,5165489010,47822569
NI,1963,292916241.1,1960155
NL,1963,15891241386,11965966
NO,1963,6510239503,3666537
NP,1963,496947904.4,10782717
NR,1963,,5198
NZ,1963,6638937283,2531800
OM,1963,,568603
PK,1963,4630827383,49325050
PA,1963,722784500,1233267
PE,1963,3600957771,11112665
PH,1963,5505055618,31043711
PW,1963,,10076
PG,1963,275968039.5,2129222
PL,1963,,30712000
KP,1963,,12475236
PT,1963,3905734460,9030355
PY,1963,,2039390
QA,1963,,50950
RO,1963,,18797850
RU,1963,,123960000
RW,1963,128000000,3191311
SA,1963,,4621655
SD,1963,1568333333,9115091
SN,1963,1122139637,3562469
SG,1963,917614007.6,1795000
SB,1963,,143863
SL,1963,348546952.1,2426750
SV,1963,,3014885
SM,1963,,16583
SO,1963,216145935.9,3102170
RS,1963,,6732000
SS,1963,,3036238
ST,1963,,70272
SR,1963,125950000,299332
SK,1963,,4282017
SI,1963,,1616971
SE,1963,20204870630,7604328
SZ,1963,54128377.43,369527
SC,1963,13923029.26,45176
SY,1963,1200447408,5045245
TD,1963,371767002.7,3210296
TG,1963,143255784.5,1736697
TH,1963,3540403457,29114124
TJ,1963,,2368868
TM,1963,,1776387
TL,1963,,491117
TO,1963,,73441
TT,1963,678235373,897658
TN,1963,,4332926
TR,1963,10355555556,29827877
TV,1963,,5503
TZ,1963,,10960161
UG,1963,516147798.7,8311013
UA,1963,,44445903
UY,1963,1539681491,2622936
US,1963,6.386E+11,189242000
UZ,1963,,9394588
VC,1963,13708219.1,88638
VE,1963,9753333333,9059953
VN,1963,,35526727
VU,1963,,70400
WS,1963,,123416
YE,1963,,5860197
ZA,1963,10854195663,18042215
ZM,1963,718714285.7,3431381
ZW,1963,1159511700,4177931
AF,1964,800000044.4,9355514
AO,1964,,5673199
AL,1964,,1814135
AD,1964,,12690
AE,1964,,165305
AR,1964,25605249382,21708487
AM,1964,,2171029
AG,1964,,58664
AU,1964,23801097547,11167000
AT,1964,9169983886,7223801
AZ,1964,,4439250
BI,1964,260750008,3033221
BE,1964,15960106681,9378113
BJ,1964,269818988.3,2685619
BF,1964,410321618.2,5076111
BD,1964,5386054619,56774465
BG,1964,,8144340
BH,1964,,186587
BS,1964,266666666.7,138785
BA,1964,,3507959
BY,1964,,8524224
BZ,1964,36193826.12,101772
BO,1964,539491477.3,4029472
BR,1964,20963733695,82262794
BB,1964,,236834
BN,1964,,102904
BT,1964,,247444
BW,1964,41613969.05,562274
CF,1964,142025069.5,1811694
CA,1964,49377522897,19325000
CH,1964,14480556572,5789228
CL,1964,5982347826,8825046
CN,1964,59708343489,698355000
CI,1964,921063266.5,4321368
CM,1964,776650126.2,5556209
CD,1964,2881545273,16965855
CG,1964,185693724.9,1174269
CO,1964,5973366667,17739754
KM,1964,,210665
CV,1964,,236362
CR,1964,542578367.2,1550661
CU,1964,,7902286
