iso2,year,gdp,population
AM,1973,,2706852
AG,1973,,64463
AU,1973,63844971172,13380000
AT,1973,29515467707,7586115
AZ,1973,,5493900
BI,1973,304339839.6,3571450
BE,1973,47743801490,9741720
BJ,1973,504376035.7,3227380
BF,1973,674773518.4,5907742
BD,1973,8086725729,71144818
BG,1973,,8620967
BH,1973,,256632
BS,1973,670900000,193563
BA,1973,,3943152
BY,1973,,9257272
BZ,1973,78343558.28,126875
BO,1973,1262968516,4902248
BR,1973,83592275863,103666904
BB,1973,,244643
BN,1973,433092003.6,149065
BT,1973,,329800
BW,1973,244129088,657246
CF,1973,271183061.4,2195905
CA,1973,1.31322E+11,22491777
CH,1973,,6307347
CL,1973,16836261173,10307842
CN,1973,1.38544E+11,881940000
CI,1973,2508421235,6257373
CM,1973,1901393216,6998688
CD,1973,7870239461,21853906
CG,1973,541973362.5,1532069
CO,1973,10315760000,22396318
KM,1973,,263728
CV,1973,,299191
CR,1973,1528916185,2006247
CU,1973,9987709650,9297924
CY,1973,,650705
CZ,1973,,9922266
DE,1973,3.98374E+11,78936666
DJ,1973,,177327
DM,1973,,70334
DK,1973,30730626663,5021861
DO,1973,2344800000,4851183
DZ,1973,8707847924,14786469
EC,1973,3891755552,6720443
EG,1973,10098534613,37120776
ER,1973,,1376516
ES,1973,78639525985,34988947
EE,1973,,1405951
ET,1973,,30694316
FI,1973,19472363467,4666081
FJ,1973,425963359.4,557244
FR,1973,2.6443E+11,53053660
FM,1973,,63889
GA,1973,722780701.1,635288
GB,1973,1.92538E+11,56194527
GE,1973,,4242500
GH,1973,2465492958,9637197
GN,1973,,4445207
GM,1973,75187969.92,577488
GW,1973,89374237.29,603203
GQ,1973,81203226.91,298050
GR,1973,22347848101,8929086
GD,1973,,97886
GT,1973,2569200100,5858466
GY,1973,307047619.1,729865
HN,1973,912499950,3046715
HR,1973,,4470161
HT,1973,466800000,4940710
HU,1973,,10432055
ID,1973,16273253012,124709058
IN,1973,85515269585,596107483
IE,1973,7481173066,3085950
IR,1973,27081698250,30981898
IQ,1973,5134367778,10872139
IS,1973,1154440253,212317
IL,1973,,3278000
IT,1973,1.75492E+11,54751406
JM,1973,1905917553,1945320
JO,1973,943700547.8,1767414
JP,1973,4.32083E+11,108707000
KZ,1973,,12789985
KE,1973,2508998457,12760405
KG,1973,,3153800
KH,1973,702899156,6852360
KI,1973,31710657.73,60598
KN,1973,24196018.38,44242
KR,1973,13876531432,34103149
KW,1973,5408293999,970527
LA,1973,,2877561
LB,1973,,2569841
LR,1973,,1582697
LY,1973,,2084256
LC,1973,,108114
LI,1973,165930611.7,22251
LK,1973,2875625000,13252033
LS,1973,121181556.2,1135631
LT,1973,,3244438
LU,1973,2609875802,350450
LV,1973,,2415819
MA,1973,6242177798,16489452
MC,1973,523552815.1,25102
MD,1973,,2536068
MG,1973,1653062347,7268560
MV,1973,,134940
MX,1973,55280000000,55228203
MH,1973,,25522
MK,1973,,1725228
ML,1973,563683703.2,6455257
MT,1973,345602025.4,302200
MM,1973,667038769.1,29165356
ME,1973,,530220
MN,1973,,1402309
MZ,1973,,9123668
MR,1973,493237544.4,1227358
MU,1973,,864819
MW,1973,444281703.9,4996239
MY,1973,7662996767,11062664
NA,1973,,824918
NE,1973,946385033,5059382
NG,1973,15162871287,59605446
NI,1973,1093571442,2682747
NL,1973,71840909664,13439322
NO,1973,22534253703,3960612
NP,1973,972101725,13335963
NR,1973,,6990
NZ,1973,12802281898,2961300
OM,1973,483033932.1,728597
PK,1973,6383429490,64285624
PA,1973,1913793400,1646580
PE,1973,10994381895,14674785
PH,1973,11412421020,40406234
PW,1973,,12541
PG,1973,1299105241,2672144
PL,1973,,33357200
KP,1973,,16128122
PT,1973,15090564186,8633100
PY,1973,995531746,2583160
QA,1973,793884368,163734
RO,1973,,20835681
RU,1973,,132669000
RW,1973,290746157.2,4259484
SA,1973,14947491056,7088758
SD,1973,3571666667,12469591
SN,1973,1863398448,4772039
SG,1973,3696213333,2193000
SB,1973,55272108.84,186816
SL,1973,575230234.4,2942333
SV,1973,1442320000,3890639
SM,1973,,19010
SO,1973,507028428.2,4022336
RS,1973,,7091000
SS,1973,,3542465
ST,1973,,82472
SR,1973,339450000,396331
SK,1973,,4641445
SI,1973,,1766697
SE,1973,59404966684,8136312
SZ,1973,221902017.3,480668
SC,1973,36896278.22,56892
SY,1973,2579219251,7003114
TD,1973,647199482.8,3912905
TG,1973,406479906.2,2390909
TH,1973,10838587358,38873060
TJ,1973,,3277487
TM,1973,,2393323
TL,1973,,584035
TO,1973,,90611
TT,1973,1308799459,1026563
TN,1973,2730787476,5463650
TR,1973,25633802817,38028236
TV,1973,,5934
TZ,1973,,15123504
UG,1973,1702521008,11146099
UA,1973,,48301548
UY,1973,3964295673,2836825
US,1973,1.42538E+12,211909000
UZ,1973,,13107928
VC,1973,30165373.62,101924
VE,1973,17035581395,12424804
VN,1973,,44891281
VU,1973,,95687
WS,1973,,149587
YE,1973,,7417736
ZA,1973,33262767311,24382513
ZM,1973,2268714286,4653289
ZW,1973,3309353600,5712712
AF,1974,2155555498,11869879
AO,1974,,6802494
AL,1974,,2350124
AD,1974,186558696.3,26003
AE,1974,,491955
AR,1974,72436777342,25449754
AM,1974,,2767646
AG,1974,,64218
AU,1974,88981577008,13723000
AT,1974,35189299912,7599038
AZ,1974,,5594100
BI,1974,345263492.1,3660032
BE,1974,56033077879,9772419
BJ,1974,554654787,3301276
BF,1974,751133330.6,6018141
BD,1974,12512460520,72947807
BG,1974,,8678745
BH,1974,,270627
BS,1974,632400000,197767
BA,1974,,3983063
BY,1974,,9317584
BZ,1974,103216374.3,128620
BO,1974,2100249875,5013765
BR,1974,1.09795E+11,106167372
BB,1974,311809337.5,245851
BN,1974,1073577086,154314
BT,1974,,340842
BW,1974,306033848.4,691569
CF,1974,281398668.2,2239305
CA,1974,1.60409E+11,22807969
CH,1974,,6341405
CL,1974,16210404184,10472743
CN,1974,1.44182E+11,900350000
CI,1974,3070151901,6548923
CM,1974,2157415246,7194697
CD,1974,9596960180,22448415
CG,1974,585364635.4,1580280
CO,1974,12370029584,22897871
KM,1974,,271719
CV,1974,,301682
CR,1974,1666544754,2058235
CU,1974,11405957317,9413105
CY,1974,,648585
CZ,1974,,9988459
DE,1974,4.45303E+11,78967433
DJ,1974,,191389
DM,1974,,70822
DK,1974,34160444798,5045297
DO,1974,2925700000,4978582
DZ,1974,13210029612,15153602
EC,1974,6599259421,6911123
EG,1974,9228963225,37930374
ER,1974,,1413220
ES,1974,97274006346,35373335
EE,1974,,1418169
ET,1974,,31488613
FI,1974,24848821490,4690574
FJ,1974,558589870.9,566296
FR,1974,2.85552E+11,53415250
FM,1974,,65552
GA,1974,1544216004,648922
GB,1974,2.06131E+11,56229974
GE,1974,,4279500
GH,1974,2894409938,9918979
GN,1974,,4517073
GM,1974,95797533.46,594904
GW,1974,98775328.95,623576
GQ,1974,94159862.71,290558
GR,1974,25351306818,8962022
GD,1974,,97528
GT,1974,3161499900,5994300
GY,1974,433954545.5,737701
HN,1974,1034500000,3136539
HR,1974,,4490660
HT,1974,565400000,5030652
HU,1974,,10478720
ID,1974,25802409639,127945196
IN,1974,99525899116,609721951
IE,1974,7896860615,3137500
IR,1974,46209092072,31895534
IQ,1974,11516762614,11243146
IS,1974,1515190595,215209
IL,1974,,3377000
IT,1974,1.99564E+11,55110868
JM,1974,2375096249,1974880
JO,1974,1197454207,1827584
JP,1974,4.79626E+11,110162000
KZ,1974,,12972497
KE,1974,2969942180,13203949
KG,1974,,3223900
KH,1974,588443893.7,6913408
KI,1974,85637174.37,60953
KN,1974,31514856.31,44056
KR,1974,19544094741,34692266
KW,1974,13004774557,1030426
LA,1974,,2946882
LB,1974,,2632880
LR,1974,,1626283
LY,1974,,2179446
LC,1974,,109740
LI,1974,193983720.5,22638
LK,1974,3574586466,13501931
LS,1974,150846210.5,1175369
LT,1974,,3273894
LU,1974,3183637117,355050
LV,1974,,2437186
MA,1974,7675408486,16902383
MC,1974,563939670.7,25262
MD,1974,,2563389
MG,1974,1917508190,7491935
MV,1974,,138944
MX,1974,72000000000,56945880
MH,1974,,26174
MK,1974,,1749329
ML,1974,538747340.8,6569273
MT,1974,376094108.5,301996
MM,1974,1000557950,29751936
ME,1974,,538902
MN,1974,,1443130
MZ,1974,,9404221
MR,1974,613010958.2,1264352
MU,1974,,878042
MW,1974,548621017.6,5134199
MY,1974,9496074114,11335187
NA,1974,,850091
NE,1974,1026136974,5196579
NG,1974,24846641318,61157931
NI,1974,1520900045,2769211
NL,1974,87243413395,13545056
NO,1974,27145693810,3985258
NP,1974,1217953547,13626301
NR,1974,,7096
NZ,1974,13940981798,3023700
OM,1974,1645917776,754676
PK,1974,8899191919,66149169
PA,1974,2188307600,1690676
PE,1974,13858441211,15057175
PH,1974,15607825071,41388324
PW,1974,,12662
PG,1974,1467346060,2733313
PL,1974,,33678899
KP,1974,,16437002
PT,1974,17512391476,8754365
PY,1974,1333475397,2648082
QA,1974,2401403227,179299
RO,1974,,21029429
RU,1974,,133432000
RW,1974,308458423.2,4386369
SA,1974,45412971910,7483506
SD,1974,4595000000,12950962
SN,1974,2099324950,4911421
SG,1974,5221534956,2229800
SB,1974,84539332.28,192155
SL,1974,648590642.9,2998843
SV,1974,1665880000,3984049
SM,1974,,19439
SO,1974,467577432.3,4125823
RS,1974,,7128000
SS,1974,,3629608
ST,1974,,84189
SR,1974,409850000,394519
SK,1974,,4689623
SI,1974,,1776132
SE,1974,66013338965,8159955
SZ,1974,264311994.1,494624
SC,1974,43134498.69,57937
SY,1974,4244670160,7244901
TD,1974,652532796.1,4000559
TG,1974,560437742.6,2450335
TH,1974,13703000530,39900961
TJ,1974,,3377758
TM,1974,,2459325
TL,1974,,592277
TO,1974,,92007
TT,1974,2042031901,1040291
TN,1974,3545933562,5613116
TR,1974,35669064748,38863420
TV,1974,,6100
TZ,1974,,15671316
UG,1974,2100142653,11428676
UA,1974,,48602694
UY,1974,4090209682,2853588
US,1974,1.54524E+12,213854000
UZ,1974,,13494711
VC,1974,32924215.86,102951
VE,1974,26100930233,12796220
VN,1974,,45898698
VU,1974,,98790
WS,1974,,152240
YE,1974,,7630190
ZA,1974,41389185875,25077016
ZM,1974,3121833333,4789038
ZW,1974,3982161400,5903530
AF,1975,2366666616,12157386
AO,1975,,7032713
AL,1975,,2404831
AD,1975,220127246.4,27640
AE,1975,14720672507,543394
AR,1975,52438647922,25875558
AM,1975,,2830798
AG,1975,,64035
AU,1975,97333060221,13893000
AT,1975,40059206763,7578903
AZ,1975,,5689050
BI,1975,420986666.7,3749232
BE,1975,65678189097,9800700
BJ,1975,676870140.3,3378703
BF,1975,939972703.5,6138444
BD,1975,19448348073,74700345
BG,1975,,8720742
BH,1975,,285116
BS,1975,596200000,201881
BA,1975,,4022090
BY,1975,,9367000
BZ,1975,118066298.3,130801
BO,1975,2404697651,5127776
BR,1975,1.29204E+11,108700515
BB,1975,402178605,247090
BN,1975,1168304306,159653
BT,1975,,352269
BW,1975,355172413.8,727930
CF,1975,378660016.3,2283927
CA,1975,1.73834E+11,23143275
CH,1975,,6338632
CL,1975,7622217352,10639531
CN,1975,1.63432E+11,916395000
CI,1975,3893839190,6853981
CM,1975,2857037371,7397417
CD,1975,10237343174,23052715
CG,1975,767102679,1624935
CO,1975,13098633902,23403731
KM,1975,,280036
CV,1975,,304375
CR,1975,1960863466,2111850
CU,1975,13027415244,9514305
CY,1975,489914760.7,644982
CZ,1975,,10058620
DE,1975,4.90637E+11,78673554
DJ,1975,,208582
DM,1975,,71300
DK,1975,40474406216,5059862
DO,1975,3599200000,5106453
DZ,1975,15557934269,15724692
EC,1975,7731677257,7105786
EG,1975,11632178869,38775584
ER,1975,,1450867
ES,1975,1.14777E+11,35757900
EE,1975,,1429352
ET,1975,,32252783
FI,1975,29472623242,4711440
FJ,1975,684268280.8,575804
FR,1975,3.60832E+11,53715733
FM,1975,,67121
GA,1975,2157592937,663340
GB,1975,2.41757E+11,56225800
GE,1975,,4311200
GH,1975,2810106383,10209848
GN,1975,,4588006
GM,1975,115182522.1,612909
GW,1975,108985740.2,659635
GQ,1975,104295643.4,283262
GR,1975,28525876727,9046541
GD,1975,,97165
GT,1975,3645900000,6131151
GY,1975,494791666.7,745590
HN,1975,1124000000,3231631
HR,1975,,4512082
HT,1975,681400000,5124560
HU,1975,,10540525
ID,1975,30463855422,131213215
IN,1975,98472796457,623524219
IE,1975,9483808362,3189550
IR,1975,51776222350,32856976
IQ,1975,13458516763,11617622
IS,1975,1406875081,217979
IL,1975,,3455000
IT,1975,2.27696E+11,55441001
JM,1975,2860411286,2003094
JO,1975,1363039400,1886636
JP,1975,5.21542E+11,111573000
KZ,1975,,13158942
KE,1975,3259344936,13651908
KG,1975,,3292400
KH,1975,,6727922
KI,1975,55081816.99,60675
KN,1975,33364055.3,43888
KR,1975,21784297521,35280725
KW,1975,12024138276,1095998
LA,1975,,3012720
LB,1975,,2691586
LR,1975,,1671632
LY,1975,,2291841
LC,1975,,111497
LI,1975,246387479.2,23030
LK,1975,3791298146,13755141
LS,1975,149560513.9,1216180
LT,1975,,3301652
LU,1975,3123333333,358950
LV,1975,,2456130
MA,1975,8984824183,17325325
MC,1975,711922994.3,25524
MD,1975,,2590711
MG,1975,2283049233,7720859
MV,1975,,143126
MX,1975,88000000000,58691882
MH,1975,,27047
MK,1975,,1774013
ML,1975,830710613.9,6687293
MT,1975,474620439.6,304222
MM,1975,1128484859,30344276
ME,1975,,546487
MN,1975,,1485691
MZ,1975,,9703732
MR,1975,703378653.4,1302436
MU,1975,,892000
MW,1975,613220652.9,5280965
MY,1975,9298800799,11617947
NA,1975,,876572
NE,1975,1048690933,5339497
NG,1975,27778934625,62851312
NI,1975,1590428523,2857461
NL,1975,1.0025E+11,13666335
NO,1975,32877805200,4007313
NP,1975,1575789254,13925541
NR,1975,,7199
NZ,1975,12861983284,3083100
OM,1975,2096699189,787194
PK,1975,11230606061,68126999
PA,1975,2435304100,1734876
PE,1975,16877163792,15441497
PH,1975,16875240684,42394433
PW,1975,,12607
PG,1975,1356591177,2794462
PL,1975,,34015199
KP,1975,,16723252
PT,1975,19347607843,9093470
PY,1975,1511420635,2714664
QA,1975,2512784033,195043
RO,1975,,21293583
RU,1975,,134200000
RW,1975,571863295.7,4515756
SA,1975,46773303721,7897544
SD,1975,5598000000,13497543
SN,1975,2830388405,5047922
SG,1975,5633673930,2262600
SB,1975,74617096.48,197853
SL,1975,679335901.1,3055916
SV,1975,1884120100,4076751
SM,1975,,19803
SO,1975,710850226.5,4228289
RS,1975,,7163000
SS,1975,,3718279
ST,1975,,86037
SR,1975,465500000,392137
SK,1975,,4739105
SI,1975,,1793581
SE,1975,82885397621,8192437
SZ,1975,288302907.4,509535
SC,1975,47803145.96,59292
SY,1975,5566756757,7497126
TD,1975,864602103.3,4084110
TG,1975,617321669.4,2509713
TH,1975,14882747955,40908471
TJ,1975,,3482125
TM,1975,,2525760
TL,1975,,600126
TO,1975,32506741.72,93477
TT,1975,2442667573,1054017
TN,1975,4328610490,5769074
TR,1975,44763888889,39673590
TV,1975,,6381
TZ,1975,,16243826
UG,1975,2359555556,11730959
UA,1975,,48892187
UY,1975,3538283322,2871947
US,1975,1.6849E+12,215973000
UZ,1975,,13894347
VC,1975,33237164.72,103879
VE,1975,27464651163,13176387
VN,1975,,46969616
VU,1975,,102010
WS,1975,,155263
YE,1975,,7855657
ZA,1975,42906919870,25777964
ZM,1975,2618666667,4931249
ZW,1975,4371300700,6097083
AF,1976,2555555567,12425267
AO,1976,,7266780
AL,1976,,2458526
AD,1976,227281024.6,29294
AE,1976,19213022691,614177
AR,1976,51169499892,26290257
AM,1976,,2896311
AG,1976,,63990
AU,1976,1.05101E+11,14033000
AT,1976,42959976222,7565525
AZ,1976,,5781000
BI,1976,448412753.6,3830889
BE,1976,71113882968,9818227
BJ,1976,698408244.4,3460329
BF,1976,976547163.5,6269765
BD,1976,10117113333,76380080
BG,1976,,8758599
BH,1976,,300044
BS,1976,642100000,206096
BA,1976,,4060039
BY,1976,,9411000
BZ,1976,96905829.6,133471
BO,1976,2731984008,5244355
BR,1976,1.53169E+11,111286504
BB,1976,435911268.6,248359
BN,1976,1423061357,165064
BT,1976,,364119
BW,1976,372010119.6,766424
CF,1976,451152450,2318349
CA,1976,2.06576E+11,23449808
CH,1976,,6302504
CL,1976,10341925249,10804869
CN,1976,1.5394E+11,930685000
CI,1976,4662053708,7142690
CM,1976,2898089929,7598028
CD,1976,9648583225,23655016
CG,1976,754549600.6,1665418
CO,1976,15341403660,23913002
KM,1976,,288810
CV,1976,,307015
CR,1976,2412555426,2167544
CU,1976,13789579903,9600862
CY,1976,576090073.7,648868
CZ,1976,,10125939
DE,1976,5.19754E+11,78336950
DJ,1976,,229304
DM,1976,,71748
DK,1976,44575892473,5072596
DO,1976,3951500000,5235318
DZ,1976,17728347375,16500516
EC,1976,9091924305,7304349
EG,1976,13315988083,39649050
ER,1976,,1489656
ES,1976,1.18507E+11,36137812
EE,1976,,1439576
ET,1976,,33062216
FI,1976,31849513771,4725664
FJ,1976,694552411.7,586607
FR,1976,3.72319E+11,53966558
FM,1976,,68602
GA,1976,3009409971,678660
GB,1976,2.32615E+11,56211968
GE,1976,,4342400
GH,1976,2765254237,10509006
GN,1976,,4658743
GM,1976,112189468.5,631894
GW,1976,112386489,701016
GQ,1976,103653049.9,276000
GR,1976,31152835821,9188150
GD,1976,,96781
GT,1976,4365300200,6269983
GY,1976,454440000,753553
HN,1976,1347999950,3334814
HR,1976,,4535934
HT,1976,879000000,5222342
HU,1976,,10598677
ID,1976,37269156627,134521025
IN,1976,1.02717E+11,637451448
IE,1976,9453756015,3238050
IR,1976,68055295081,33841060
IQ,1976,17754825601,11999342
IS,1976,1669488390,220154
IL,1976,,3533000
IT,1976,2.24717E+11,55718260
JM,1976,2966010230,2029486
JO,1976,1708734940,1945141
JP,1976,5.86162E+11,112775000
KZ,1976,,13346173
KE,1976,3474542392,14102268
KG,1976,,3358700
KH,1976,,6307122
KI,1976,41109617.5,60310
KN,1976,30095602.29,43740
KR,1976,29902479339,35848523
KW,1976,13131668947,1168791
LA,1976,,3072017
LB,1976,,3070419
LR,1976,,1718482
LY,1976,,2413760
LC,1976,,113421
LI,1976,272493879,23416
LK,1976,3591319857,14012894
LS,1976,147654093.8,1256478
LT,1976,,3328664
LU,1976,3423586207,360731
LV,1976,,2470989
MA,1976,9584323309,17756516
MC,1976,735339911.9,25898
MD,1976,,2618032
MG,1976,2181844194,7955197
MV,1976,,147468
MX,1976,89025974026,60452543
MH,1976,,27964
MK,1976,,1799332
ML,1976,939228016.2,6807648
MT,1976,527936988.8,305774
MM,1976,1155595925,30941375
ME,1976,,552562
MN,1976,,1529084
MZ,1976,,10019210
MR,1976,775046377.6,1341604
MU,1976,704033525.4,906507
MW,1976,670317634.2,5438226
MY,1976,11050125905,11910081
NA,1976,,901840
NE,1976,1064517575,5488658
NG,1976,36308883249,64658315
NI,1976,1847871372,2947454
NL,1976,1.09169E+11,13774037
NO,1976,35942270686,4026152
NP,1976,1452792989,14230738
NR,1976,,7306
NZ,1976,13604832424,3110500
OM,1976,2560220035,824081
PK,1976,13168080808,70230923
PA,1976,2588106000,1779037
PE,1976,15947709380,15826813
PH,1976,19380945793,43474370
PW,1976,,12539
PG,1976,1511856584,2855837
PL,1976,,34356300
KP,1976,,16987170
PT,1976,20332831565,9355810
PY,1976,1698960317,2782624
QA,1976,3284301332,210990
RO,1976,,21551634
RU,1976,,135147000
RW,1976,637754162.1,4648207
SA,1976,64005623870,8319556
SD,1976,6979333333,14066007
SN,1976,2869777812,5181195
SG,1976,6327077974,2293300
SB,1976,83099107.91,204082
SL,1976,594895672.3,3112863
SV,1976,2328280100,4166890
SM,1976,,20160
SO,1976,807275808.7,4333779
RS,1976,,7214000
SS,1976,,3808615
ST,1976,,88078
SR,1976,505500000,389231
SK,1976,,4789507
SI,1976,,1820249
SE,1976,89362071673,8222286
SZ,1976,272539098.4,525457
SC,1976,49278979.55,60504
SY,1976,6417632803,7758673
TD,1976,866044961,4163051
TG,1976,619375134.2,2569671
TH,1976,16985211146,41882128
TJ,1976,,3590606
TM,1976,,2592280
TL,1976,,609650
TO,1976,30036416.96,94921
TT,1976,2500410584,1067696
TN,1976,4507929104,5929998
TR,1976,51130434783,40500997
TV,1976,,6677
TZ,1976,,16838919
UG,1976,2447300000,12045227
UA,1976,,49144535
UY,1976,3667161241,2891094
US,1976,1.87341E+12,218035000
UZ,1976,,14307397
VC,1976,32792480.97,104709
VE,1976,31419534884,13566112
VN,1976,,48163573
VU,1976,,105341
WS,1976,,158136
YE,1976,,8094985
ZA,1976,41150449966,26480300
ZM,1976,2746714286,5079672
ZW,1976,4318372000,6288387
AF,1977,2953333418,12687301
AO,1977,,7511895
AL,1977,,2513546
AD,1977,254020153.3,30949
AE,1977,24871775165,706861
AR,1977,56781000101,26713780
AM,1977,,2965523
AG,1977,77496753.7,64117
AU,1977,1.10388E+11,14192000
AT,1977,51545758888,7568430
AZ,1977,,5876150
BI,1977,547535555.6,3927428
BE,1977,82839905459,9830358
BJ,1977,750049739.2,3546454
BF,1977,1131224818,6416569
BD,1977,9651149302,78137788
BG,1977,,8804183
BH,1977,,315337
BS,1977,713000000,210534
BA,1977,,4096516
BY,1977,,9463000
BZ,1977,117650000,136183
BO,1977,3227436282,5363917
BR,1977,1.76344E+11,113939886
BB,1977,495097667.9,249663
BN,1977,1732721161,170560
BT,1977,,376387
BW,1977,451603325.4,806968
CF,1977,507298120.7,2342048
CA,1977,2.11612E+11,23725843
CH,1977,,6281174
CL,1977,13962893422,10969861
CN,1977,1.74938E+11,943455000
CI,1977,6265067858,7415900
CM,1977,3394663844,7796825
CD,1977,12344424764,24256464
CG,1977,765224030.6,1706181
CO,1977,19470960619,24443926
KM,1977,,298152
CV,1977,,309389
CR,1977,3072427013,2225630
CU,1977,14206158675,9672546
CY,1977,734887974,656414
CZ,1977,,10186755
DE,1977,6.00498E+11,78159814
DJ,1977,,253083
DM,1977,45872947.41,72142
DK,1977,49784338519,5088419
DO,1977,4587100000,5365074
DZ,1977,20971901273,17134192
EC,1977,11026346590,7506665
EG,1977,14400806876,40577356
ER,1977,,1529802
ES,1977,1.32449E+11,36511638
EE,1977,,1450211
ET,1977,,33695018
FI,1977,33499799321,4738902
FJ,1977,719533137.1,599289
FR,1977,4.10279E+11,54221988
FM,1977,,70144
GA,1977,2809349074,694931
GB,1977,2.63066E+11,56193492
GE,1977,,4372100
GH,1977,3189428571,10825496
GN,1977,,4730375
GM,1977,138094243.4,651934
GW,1977,114971207.2,746588
GQ,1977,103987520.1,271377
GR,1977,36176234968,9308479
GD,1977,71494495.19,96329
GT,1977,5480500200,6412667
GY,1977,449880000,761378
HN,1977,1669499950,3441122
HR,1977,,4559571
HT,1977,947000000,5323827
HU,1977,,10648031
ID,1977,45808915663,137861540
IN,1977,1.21487E+11,651685628
IE,1977,11248340431,3282200
IR,1977,80600122702,34876497
IQ,1977,19838130715,12400190
IS,1977,2208509076,221799
IL,1977,,3613000
IT,1977,2.57596E+11,55955411
JM,1977,3249697393,2054927
JO,1977,2096568479,2005418
JP,1977,7.21412E+11,113872000
KZ,1977,,13543521
KE,1977,4494378855,14577346
KG,1977,,3423900
KH,1977,,6040197
KI,1977,38748059.44,59894
KN,1977,44496296.3,43603
KR,1977,38446487603,36411795
KW,1977,14135729588,1247225
LA,1977,,3125742
LB,1977,,3457617
LR,1977,,1768092
LY,1977,,2541805
LC,1977,,115385
LI,1977,303496276.3,23803
LK,1977,4104509583,14273495
LS,1977,193307267.7,1294435
LT,1977,,3355036
LU,1977,3789321328,361358
LV,1977,,2485073
MA,1977,11049896742,18206472
MC,1977,811250927.4,26242
MD,1977,,2643746
MG,1977,2358930406,8195142
MV,1977,,151792
MX,1977,81814159292,62262505
MH,1977,,28912
MK,1977,,1825299
ML,1977,1049838550,6935336
MT,1977,625573345.5,306970
MM,1977,1000350727,31554598
ME,1977,,557576
MN,1977,,1572516
MZ,1977,,10363575
MR,1977,799029666.6,1381329
MU,1977,823634464.9,921379
MW,1977,806290840.6,5611712
MY,1977,13139397879,12218924
NA,1977,,926109
NE,1977,1291457973,5644703
NG,1977,36035407725,66589655
NI,1977,2239857061,3038680
NL,1977,1.27017E+11,13856185
NO,1977,41508030431,4043205
NP,1977,1382400000,14550430
NR,1977,,7441
NZ,1977,15446825318,3120200
OM,1977,2741169948,866124
PK,1977,15126060606,72451105
PA,1977,2738261900,1823146
PE,1977,14620386674,16224613
PH,1977,22283185056,44646518
PW,1977,,12463
PG,1977,1640763204,2917572
PL,1977,,34689050
KP,1977,,17231389
PT,1977,21439523311,9455675
PY,1977,2092158730,2852430
QA,1977,3617580172,227177
RO,1977,,21756096
RU,1977,,136100000
RW,1977,746650558.6,4783252
SA,1977,74188363505,8755219
SD,1977,8704000000,14667218
SN,1977,2938046307,5308297
SG,1977,6618585074,2325300
SB,1977,93147039.25,210932
SL,1977,691777758.4,3172195
SV,1977,2941640100,4256699
SM,1977,,20482
SO,1977,498550873,4449505
RS,1977,,7258000
SS,1977,,3901044
ST,1977,,90299
SR,1977,641500000,385810
SK,1977,,4840501
SI,1977,,1842377
SE,1977,94468740851,8251540
SZ,1977,304047838.1,542328
SC,1977,64526398.66,61786
SY,1977,6882292994,8029313
TD,1977,935360466.3,4238551
TG,1977,777435020.5,2630626
TH,1977,19779315170,42843802
TJ,1977,,3703010
TM,1977,,2659019
TL,1977,,619308
TO,1977,34139387.89,95847
TT,1977,3138666667,1081693
TN,1977,5109324009,6092769
TR,1977,58683333333,41385656
TV,1977,,6984
TZ,1977,,17454627
UG,1977,2936470588,12369253
UA,1977,,49357430
UY,1977,4114667063,2909327
US,1977,2.08183E+12,220239000
UZ,1977,,14731709
VC,1977,49353161.85,105499
VE,1977,36210697674,13965250
VN,1977,,49418150
VU,1977,,108769
WS,1977,,160362
YE,1977,,8348182
ZA,1977,45328399963,27199838
ZM,1977,2483000000,5233292
ZW,1977,4364382100,6453044
AF,1978,3300000109,12938862
AO,1978,,7771590
AL,1978,,2566266
AD,1978,308008897.6,32574
AE,1978,23775831783,805231
AR,1978,58082870156,27146121
AM,1978,,3038224
AG,1978,87879341.48,64329
AU,1978,1.18536E+11,14358000
AT,1978,62052259073,7562305
AZ,1978,,5976150
BI,1978,610225555.6,4039410
BE,1978,1.01247E+11,9839534
BJ,1978,928843304.8,3636927
BF,1978,1475583383,6577779
BD,1978,13281767143,80007550
BG,1978,,8814032
BH,1978,,330912
BS,1978,832400000,215016
BA,1978,,4131521
BY,1978,,9525000
BZ,1978,136300000,138933
BO,1978,3758220890,5486132
BR,1978,2.00279E+11,116664382
BB,1978,552883707.1,251009
BN,1978,1941600704,176176
BT,1978,,389072
BW,1978,590376720.6,849394
CF,1978,610578523.8,2365957
CA,1978,2.18633E+11,23963203
CH,1978,,6281738
CL,1978,15989933708,11137748
CN,1978,1.49541E+11,956165000
CI,1978,7900524898,7700816
CM,1978,4662851757,8013279
CD,1978,15372608002,25015244
CG,1978,878771771.3,1747207
CO,1978,23263511958,25003608
KM,1978,,307938
CV,1978,,311685
CR,1978,3523208810,2286210
CU,1978,17844705325,9729986
CY,1978,964026512.2,663975
CZ,1978,,10242098
DE,1978,7.4047E+11,78091820
DJ,1978,,278425
DM,1978,57130215.56,72478
DK,1978,60362931854,5104248
DO,1978,4734400000,5495443
DZ,1978,26364491313,17632645
EC,1978,11922502171,7712718
EG,1978,14811704063,41576636
ER,1978,,1571193
ES,1978,1.606E+11,36864898
EE,1978,,1460188
ET,1978,,34259065
FI,1978,36256160289,4752528
FJ,1978,829239489.8,613611
