iso2,year,legal_form,number_firms_orbis,number_firms_eurostat,number_balance_sheets,number_income_statements,bs_share,is_share
LU,2020,"Partnership, co-operatives, associations, etc.",13910,1055,1349,880,0.09698059,0.063263839
LU,2020,Sole proprietorship,5102,4415,8,7,0.001568013,0.001372011
LU,2021,Limited liability enterprise,107617,NA,13614,6103,0.126504177,0.056710371
LU,2021,"Partnership, co-operatives, associations, etc.",16878,NA,290,183,0.017182131,0.010842517
LU,2021,Sole proprietorship,5709,NA,3,3,0.000525486,0.000525486
LU,2022,Limited liability enterprise,105497,NA,50,26,0.000473947,0.000246453
LU,2022,"Partnership, co-operatives, associations, etc.",17797,NA,0,0,0,0
LU,2022,Sole proprietorship,5841,NA,0,0,0,0
LV,2010,Limited liability enterprise,98188,57721,64820,61103,0.660162138,0.622306188
LV,2010,"Partnership, co-operatives, associations, etc.",2241,1251,1513,1139,0.675145025,0.508255243
LV,2010,Sole proprietorship,26636,23678,644,447,0.024177804,0.016781799
LV,2011,Limited liability enterprise,114962,63503,71843,66878,0.624928237,0.581740053
LV,2011,"Partnership, co-operatives, associations, etc.",2302,1212,1609,1213,0.698957428,0.526933102
LV,2011,Sole proprietorship,27525,23258,652,450,0.023687557,0.016348774
LV,2012,Limited liability enterprise,130746,69593,80890,74682,0.618680495,0.571199119
LV,2012,"Partnership, co-operatives, associations, etc.",2381,1247,1622,1235,0.681226375,0.518689626
LV,2012,Sole proprietorship,28295,22824,618,419,0.021841315,0.01480827
LV,2013,Limited liability enterprise,144129,73719,87075,80089,0.604146286,0.555675818
LV,2013,"Partnership, co-operatives, associations, etc.",2454,1272,1618,1202,0.659331703,0.489812551
LV,2013,Sole proprietorship,28255,22032,567,385,0.020067245,0.013625907
LV,2014,Limited liability enterprise,155868,77640,93867,87600,0.60222111,0.562014012
LV,2014,"Partnership, co-operatives, associations, etc.",2540,1289,1633,1217,0.642913386,0.479133858
LV,2014,Sole proprietorship,27781,22050,505,371,0.018177891,0.013354451
LV,2015,Limited liability enterprise,164778,81128,97467,91131,0.591504934,0.553053199
LV,2015,"Partnership, co-operatives, associations, etc.",2536,2043,1673,1229,0.659700315,0.484621451
LV,2015,Sole proprietorship,26566,27139,461,343,0.017353008,0.01291124
LV,2016,Limited liability enterprise,169063,83332,98500,94050,0.582623046,0.556301497
LV,2016,"Partnership, co-operatives, associations, etc.",2542,2258,1630,1243,0.64122738,0.488985051
LV,2016,Sole proprietorship,24752,30803,351,290,0.014180672,0.011716225
LV,2017,Limited liability enterprise,169206,82063,99484,95202,0.587946054,0.562639623
LV,2017,"Partnership, co-operatives, associations, etc.",2519,2315,1579,1215,0.626836046,0.48233426
LV,2017,Sole proprietorship,22840,29376,312,267,0.013660245,0.011690018
LV,2018,Limited liability enterprise,164866,82924,100515,96704,0.60967695,0.586561207
LV,2018,"Partnership, co-operatives, associations, etc.",2517,2409,1574,1257,0.625347636,0.499404052
LV,2018,Sole proprietorship,21674,28306,294,257,0.01356464,0.011857525
LV,2019,Limited liability enterprise,154990,82432,99266,95751,0.640467127,0.617788244
LV,2019,"Partnership, co-operatives, associations, etc.",2506,2210,1520,1225,0.606544294,0.488826816
LV,2019,Sole proprietorship,20853,28025,265,234,0.012708004,0.011221407
