iso2,year,legal_form,number_firms_orbis,number_firms_eurostat,number_firms_worldbank,number_balance_sheets,number_income_statements,bs_share,is_share
MX,2017,public_limited_liability,1062905,NA,NA,5291,3243,0.004977867,0.003051072
MX,2017,sole_proprietorships,113617,NA,NA,0,0,0,0
MX,2018,partnerships,136237,NA,NA,50,19,0.000367007,0.000139463
MX,2018,private_limited_liability,91992,NA,1205151,427,172,0.004641708,0.001869728
MX,2018,public_limited_liability,1063793,NA,NA,4211,1719,0.003958477,0.001615916
MX,2018,sole_proprietorships,113619,NA,NA,0,0,0,0
MX,2019,partnerships,136246,NA,NA,23,9,0.000168812,6.61E-05
MX,2019,private_limited_liability,92087,NA,1289471,251,79,0.002725683,0.000857884
MX,2019,public_limited_liability,1064193,NA,NA,2424,739,0.002277782,0.000694423
MX,2019,sole_proprietorships,113619,NA,NA,0,0,0,0
MX,2020,partnerships,136249,NA,NA,22,20,0.000161469,0.00014679
MX,2020,private_limited_liability,92122,NA,1357585,151,140,0.001639131,0.001519724
MX,2020,public_limited_liability,1064359,NA,NA,1490,1326,0.001399904,0.00124582
MX,2020,sole_proprietorships,113619,NA,NA,0,0,0,0
MX,2021,partnerships,136250,NA,NA,1,1,7.34E-06,7.34E-06
MX,2021,private_limited_liability,92124,NA,NA,2,2,2.17E-05,2.17E-05
MX,2021,public_limited_liability,1064380,NA,NA,129,126,0.000121197,0.000118379
MX,2021,sole_proprietorships,113619,NA,NA,0,0,0,0
MX,2022,partnerships,136250,NA,NA,0,0,0,0
MX,2022,private_limited_liability,92124,NA,NA,0,0,0,0
MX,2022,public_limited_liability,1064377,NA,NA,0,0,0,0
MX,2022,sole_proprietorships,113619,NA,NA,0,0,0,0
NL,2010,partnerships,271944,157782,NA,3292,832,0.012105433,0.003059453
NL,2010,private_limited_liability,764084,248326,NA,637708,36548,0.834604572,0.047832437
NL,2010,public_limited_liability,3155,NA,NA,2554,956,0.809508716,0.303011094
NL,2010,sole_proprietorships,956381,564350,NA,12,1,1.25E-05,1.05E-06
NL,2011,partnerships,277944,159625,NA,3650,943,0.013132142,0.00339277
NL,2011,private_limited_liability,793927,254847,NA,654519,36660,0.82440703,0.04617553
NL,2011,public_limited_liability,3260,NA,NA,2672,933,0.819631902,0.286196319
NL,2011,sole_proprietorships,1015989,598783,NA,3,1,2.95E-06,9.84E-07
NL,2012,partnerships,275215,162178,NA,4014,981,0.014584961,0.003564486
NL,2012,private_limited_liability,823705,257479,NA,669064,36357,0.812261671,0.044138375
NL,2012,public_limited_liability,3360,NA,NA,2774,909,0.825595238,0.270535714
NL,2012,sole_proprietorships,1030339,621094,NA,1,0,9.71E-07,0
NL,2013,partnerships,274666,160670,NA,4318,1044,0.015720912,0.00380098
NL,2013,private_limited_liability,861170,262525,NA,684608,34890,0.794974279,0.040514649
NL,2013,public_limited_liability,3522,NA,NA,2894,877,0.82169222,0.249006246
NL,2013,sole_proprietorships,1076414,628234,NA,2,0,1.86E-06,0
NL,2014,partnerships,273477,157300,NA,4558,1040,0.016666849,0.003802879
NL,2014,private_limited_liability,887304,267546,NA,698131,33897,0.78680024,0.03820224
NL,2014,public_limited_liability,3609,NA,NA,2993,863,0.8293156,0.239124411
NL,2014,sole_proprietorships,1106738,650688,NA,1,0,9.04E-07,0
NL,2015,partnerships,273513,158889,NA,5051,1007,0.01846713,0.003681726
NL,2015,private_limited_liability,909416,269373,NA,709577,29589,0.780255681,0.032536265
NL,2015,public_limited_liability,3697,NA,NA,3013,805,0.814985123,0.217744117
NL,2015,sole_proprietorships,1156618,684429,NA,2,0,1.73E-06,0
NL,2016,partnerships,274287,160546,NA,5408,437,0.019716574,0.001593222
NL,2016,private_limited_liability,932987,275222,NA,726477,17580,0.778657152,0.018842706
NL,2016,public_limited_liability,3698,NA,NA,2987,626,0.80773391,0.169280692
NL,2016,sole_proprietorships,1205984,719488,NA,2,0,1.66E-06,0
NL,2017,partnerships,267765,159008,NA,4984,311,0.018613336,0.001161466
NL,2017,private_limited_liability,961727,279378,NA,720667,16034,0.749346748,0.016672091
NL,2017,public_limited_liability,3639,NA,NA,2900,571,0.796922231,0.156911239
NL,2017,sole_proprietorships,1245334,742340,NA,1,0,8.03E-07,0
NL,2018,partnerships,266893,165397,NA,4919,293,0.018430607,0.001097818
NL,2018,private_limited_liability,990918,287706,NA,726753,15979,0.733413865,0.016125451
NL,2018,public_limited_liability,3563,NA,NA,2810,560,0.788661241,0.157170923
NL,2018,sole_proprietorships,1315619,791307,NA,1,0,7.60E-07,0
NL,2019,partnerships,266965,169213,NA,4860,279,0.018204634,0.001045081
NL,2019,private_limited_liability,1018343,295787,NA,745949,16135,0.732512523,0.015844367
NL,2019,public_limited_liability,3498,NA,NA,2755,555,0.78759291,0.158662093
NL,2019,sole_proprietorships,1401337,850750,NA,1,0,7.14E-07,0
NL,2020,partnerships,267303,172299,NA,4506,271,0.016857274,0.001013831
NL,2020,private_limited_liability,1049780,303548,NA,706494,15667,0.672992437,0.014924079
NL,2020,public_limited_liability,3401,NA,NA,2510,528,0.73801823,0.155248456
NL,2020,sole_proprietorships,1485194,907977,NA,6,5,4.04E-06,3.37E-06
NL,2021,partnerships,265829,NA,NA,1030,76,0.003874671,0.000285898
NL,2021,private_limited_liability,1090234,NA,NA,145874,3313,0.133800634,0.003038797
NL,2021,public_limited_liability,3336,NA,NA,663,228,0.198741007,0.068345324
NL,2021,sole_proprietorships,1550317,NA,NA,0,0,0,0
NL,2022,partnerships,250809,NA,NA,1,1,3.99E-06,3.99E-06
NL,2022,private_limited_liability,1080047,NA,NA,183,24,0.000169437,2.22E-05
NL,2022,public_limited_liability,3234,NA,NA,5,4,0.001546073,0.001236858
NL,2022,sole_proprietorships,1550528,NA,NA,0,0,0,0
NO,2010,partnerships,22286,21130,NA,3602,3602,0.161626133,0.161626133
NO,2010,private_limited_liability,200612,138614,215076,201926,201926,1.006549957,1.006549957
NO,2010,public_limited_liability,209,NA,NA,204,204,0.976076555,0.976076555
NO,2010,sole_proprietorships,480030,109205,NA,3106,3106,0.006470429,0.006470429
NO,2011,partnerships,22307,21097,NA,3557,3557,0.159456673,0.159456673
NO,2011,private_limited_liability,207963,144563,219977,207803,207803,0.999230632,0.999230632
NO,2011,public_limited_liability,215,NA,NA,214,214,0.995348837,0.995348837
NO,2011,sole_proprietorships,508136,109116,NA,3021,3021,0.005945259,0.005945259
NO,2012,partnerships,22187,19528,NA,3589,3589,0.161761392,0.161761392
NO,2012,private_limited_liability,224720,151680,235174,222566,222566,0.990414738,0.990414738
NO,2012,public_limited_liability,210,NA,NA,218,218,1.038095238,1.038095238
NO,2012,sole_proprietorships,536299,107829,NA,2923,2923,0.005450318,0.005450318
NO,2013,partnerships,21693,17744,NA,3597,3597,0.165813857,0.165813857
NO,2013,private_limited_liability,242095,164993,250367,236099,236099,0.975232863,0.975232863
NO,2013,public_limited_liability,213,NA,NA,214,214,1.004694836,1.004694836
NO,2013,sole_proprietorships,554750,105655,NA,2774,2774,0.005000451,0.005000451
NO,2014,partnerships,20378,15721,NA,3551,3551,0.174256551,0.174256551
NO,2014,private_limited_liability,257656,169095,264457,249273,249273,0.967464371,0.967464371
NO,2014,public_limited_liability,218,NA,NA,226,226,1.036697248,1.036697248
NO,2014,sole_proprietorships,569624,103842,NA,2672,2672,0.004690814,0.004690814
NO,2015,partnerships,20206,14116,NA,3477,3477,0.172077601,0.172077601
NO,2015,private_limited_liability,273933,175253,277748,262329,262329,0.957639277,0.957639277
NO,2015,public_limited_liability,231,NA,NA,231,231,1,1
NO,2015,sole_proprietorships,586251,105835,NA,2533,2533,0.004320675,0.004320675
NO,2016,partnerships,20119,13873,NA,3238,3238,0.160942393,0.160942393
NO,2016,private_limited_liability,290075,182576,291082,276314,276314,0.952560545,0.952560545
NO,2016,public_limited_liability,237,NA,NA,237,237,1,1
NO,2016,sole_proprietorships,594478,100468,NA,2517,2517,0.004233967,0.004233967
NO,2017,partnerships,20103,12143,NA,3019,3019,0.150176591,0.150176591
NO,2017,private_limited_liability,309984,187324,310379,289622,289622,0.934312739,0.934312739
NO,2017,public_limited_liability,244,NA,NA,234,234,0.959016393,0.959016393
NO,2017,sole_proprietorships,607015,98640,NA,2336,2336,0.00384834,0.00384834
NO,2018,partnerships,19712,10650,NA,2872,2872,0.145698052,0.145698052
NO,2018,private_limited_liability,326133,190079,320379,302786,302786,0.928412641,0.928412641
NO,2018,public_limited_liability,248,NA,NA,239,239,0.963709677,0.963709677
NO,2018,sole_proprietorships,617324,96869,NA,2286,2286,0.00370308,0.00370308
NO,2019,partnerships,19337,10127,NA,2762,2762,0.14283498,0.14283498
NO,2019,private_limited_liability,342177,189964,333883,314920,314920,0.920342396,0.920342396
NO,2019,public_limited_liability,257,NA,NA,243,243,0.945525292,0.945525292
NO,2019,sole_proprietorships,588900,95091,NA,2183,2183,0.003706911,0.003706911
NO,2020,partnerships,19051,9376,NA,2665,2665,0.13988767,0.13988767
NO,2020,private_limited_liability,360070,195363,349229,328859,328859,0.913319632,0.913319632
NO,2020,public_limited_liability,266,NA,NA,242,242,0.909774436,0.909774436
NO,2020,sole_proprietorships,476011,93968,NA,2043,2043,0.004291918,0.004291918
NO,2021,partnerships,18568,NA,NA,1083,1083,0.058326153,0.058326153
NO,2021,private_limited_liability,380541,NA,NA,129119,129119,0.339303781,0.339303781
NO,2021,public_limited_liability,273,NA,NA,192,192,0.703296703,0.703296703
NO,2021,sole_proprietorships,469276,NA,NA,1289,1289,0.002746784,0.002746784
NO,2022,partnerships,18007,NA,NA,1,1,5.55E-05,5.55E-05
NO,2022,private_limited_liability,380285,NA,NA,34,34,8.94E-05,8.94E-05
NO,2022,public_limited_liability,269,NA,NA,0,0,0,0
NO,2022,sole_proprietorships,455001,NA,NA,0,0,0,0
NZ,2010,partnerships,420,NA,NA,18,18,0.042857143,0.042857143
NZ,2010,private_limited_liability,365841,NA,558594,993,991,0.002714294,0.002708827
NZ,2010,public_limited_liability,14,NA,NA,9,9,0.642857143,0.642857143
NZ,2010,sole_proprietorships,3,NA,NA,0,0,0,0
NZ,2011,partnerships,642,NA,NA,22,22,0.034267913,0.034267913
NZ,2011,private_limited_liability,392373,NA,553338,1304,1302,0.003323368,0.003318271
NZ,2011,public_limited_liability,13,NA,NA,9,9,0.692307692,0.692307692
NZ,2011,sole_proprietorships,3,NA,NA,0,0,0,0
NZ,2012,partnerships,869,NA,NA,35,35,0.04027618,0.04027618
NZ,2012,private_limited_liability,425342,NA,556060,1999,1994,0.004699747,0.004687992
NZ,2012,public_limited_liability,13,NA,NA,9,9,0.692307692,0.692307692
NZ,2012,sole_proprietorships,3,NA,NA,0,0,0,0
