regulation_id,norm_id
RO_2,RO_norm_3
RO_3,RO_norm_2
RO_3,RO_norm_4
SE_1,SE_norm_1
SE_2,SE_norm_1
SE_3,SE_norm_2
SI_1,SI_norm_3
SI_2,SI_norm_3
SI_3,SI_norm_1
SI_4,SI_norm_1
SI_5,SI_norm_1
SI_6,SI_norm_2
SK_1,SK_norm_1
SK_1,SK_norm_2
SK_1,SK_norm_3
SK_2,SK_norm_1
SK_2,SK_norm_2
SK_2,SK_norm_3
SK_3,SK_norm_4
TR_1,TR_norm_2
TR_2,TR_norm_2
TR_3,TR_norm_1
US_1,US_norm_1
US_2,US_norm_1
US_3,US_norm_2
