regulation_id,legal_form,size_threshold
GR_2,sole_proprietorships,No
GR_2,private_limited_liability,Yes
GR_2,partnerships,Yes
GR_2,sole_proprietorships,Yes
GR_3,private_limited_liability,Yes
GR_3,partnerships,Yes
GR_3,sole_proprietorships,Yes
GR_4,private_limited_liability,Yes
GR_4,partnerships,Yes
GR_4,sole_proprietorships,Yes
GR_5,private_limited_liability,Yes
GR_5,partnerships,Yes
GR_5,sole_proprietorships,Yes
GR_6,private_limited_liability,Yes
GR_6,partnerships,Yes
GR_6,sole_proprietorships,Yes
HR_1,public_limited_liability,No
HR_1,private_limited_liability,No
HR_1,partnerships,No
HR_1,sole_proprietorships,No
HR_2,public_limited_liability,No
HR_2,private_limited_liability,No
HR_2,partnerships,No
HR_2,sole_proprietorships,No
HR_3,private_limited_liability,Yes
HR_3,partnerships,Yes
HR_3,sole_proprietorships,Yes
HR_4,private_limited_liability,Yes
HR_4,partnerships,Yes
HR_4,sole_proprietorships,Yes
HR_5,private_limited_liability,Yes
HR_5,partnerships,Yes
HR_5,sole_proprietorships,Yes
HR_6,public_limited_liability,No
HR_6,private_limited_liability,Yes
HR_6,partnerships,Yes
HR_6,sole_proprietorships,Yes
HU_1,public_limited_liability,No
HU_1,private_limited_liability,No
HU_1,partnerships,No
HU_1,sole_proprietorships,No
HU_2,public_limited_liability,No
HU_2,private_limited_liability,No
HU_2,partnerships,No
HU_2,sole_proprietorships,No
HU_3,public_limited_liability,Yes
HU_3,private_limited_liability,Yes
HU_3,partnerships,Yes
HU_3,sole_proprietorships,Yes
HU_4,public_limited_liability,Yes
HU_4,private_limited_liability,Yes
HU_4,partnerships,Yes
HU_4,sole_proprietorships,Yes
IE_1,public_limited_liability,No
IE_1,private_limited_liability,No
IE_1,partnerships,No
IE_1,sole_proprietorships,No
IE_2,public_limited_liability,No
IE_2,private_limited_liability,Yes
IE_2,partnerships,Yes
IE_2,sole_proprietorships,Yes
IE_3,private_limited_liability,Yes
IE_3,partnerships,Yes
IE_3,sole_proprietorships,Yes
IE_4,private_limited_liability,Yes
IE_4,partnerships,Yes
IE_4,sole_proprietorships,Yes
IE_5,public_limited_liability,No
IE_5,private_limited_liability,Yes
IE_5,partnerships,Yes
IE_5,sole_proprietorships,Yes
IL_1,public_limited_liability,No
IL_2,public_limited_liability,No
IL_3,sole_proprietorships,No
IL_3,public_limited_liability,No
IL_3,private_limited_liability,No
IL_3,partnerships,No
IS_1,public_limited_liability,No
IS_1,private_limited_liability,No
IS_1,partnerships,No
IS_2,public_limited_liability,No
IS_2,private_limited_liability,No
IS_2,partnerships,No
IS_3,private_limited_liability,Yes
IS_3,partnerships,Yes
IS_4,private_limited_liability,Yes
IS_4,partnerships,Yes
IS_5,private_limited_liability,Yes
IS_5,partnerships,Yes
IS_6,public_limited_liability,No
IS_6,private_limited_liability,Yes
IS_6,partnerships,Yes
IT_1,public_limited_liability,No
IT_1,private_limited_liability,No
IT_1,partnerships,No
IT_2,public_limited_liability,No
IT_2,private_limited_liability,No
IT_2,partnerships,No
IT_3,private_limited_liability,Yes
IT_3,partnerships,Yes
IT_4,private_limited_liability,Yes
IT_4,partnerships,Yes
IT_5,public_limited_liability,No
IT_5,private_limited_liability,Yes
IT_5,partnerships,Yes
JP_1,public_limited_liability,No
KR_1,public_limited_liability,No
KR_2,public_limited_liability,No
KR_3,public_limited_liability,No
LT_1,public_limited_liability,No
LT_1,private_limited_liability,No
LT_1,partnerships,No
LT_2,public_limited_liability,No
LT_2,private_limited_liability,No
LT_2,partnerships,No
LT_3,private_limited_liability,Yes
LT_3,partnerships,Yes
LT_4,private_limited_liability,Yes
LT_4,partnerships,Yes
LT_5,private_limited_liability,Yes
LT_5,partnerships,Yes
LT_6,public_limited_liability,No
LT_6,private_limited_liability,Yes
LT_6,partnerships,Yes
LU_1,private_limited_liability,Yes
LU_1,partnerships,Yes
LU_2,public_limited_liability,No
LU_2,private_limited_liability,Yes
LU_2,partnerships,Yes
LV_1,public_limited_liability,No
LV_1,private_limited_liability,No
LV_1,partnerships,No
LV_2,public_limited_liability,No
LV_2,private_limited_liability,No
LV_2,partnerships,No
LV_3,private_limited_liability,Yes
LV_3,partnerships,Yes
LV_4,private_limited_liability,Yes
LV_4,partnerships,Yes
LV_5,private_limited_liability,Yes
LV_5,partnerships,Yes
LV_6,public_limited_liability,No
LV_6,private_limited_liability,Yes
LV_6,partnerships,Yes
MT_1,public_limited_liability,No
MT_1,private_limited_liability,No
MT_1,partnerships,No
MT_2,public_limited_liability,No
MT_2,private_limited_liability,No
MT_2,partnerships,No
MT_3,private_limited_liability,Yes
MT_3,partnerships,Yes
MT_4,public_limited_liability,No
MT_4,private_limited_liability,Yes
MT_4,partnerships,Yes
NL_1,public_limited_liability,No
NL_1,private_limited_liability,No
NL_1,partnerships,No
NL_2,public_limited_liability,No
NL_2,private_limited_liability,Yes
NL_2,partnerships,Yes
NL_3,private_limited_liability,Yes
NL_3,partnerships,Yes
NL_4,private_limited_liability,Yes
NL_4,partnerships,Yes
NL_5,private_limited_liability,Yes
NL_5,partnerships,Yes
NL_6,public_limited_liability,No
NL_6,private_limited_liability,Yes
NL_6,partnerships,Yes
NO_1,public_limited_liability,No
NO_1,private_limited_liability,No
NO_1,partnerships,No
NO_1,sole_proprietorships,No
NO_2,public_limited_liability,No
NO_2,private_limited_liability,No
NO_2,partnerships,No
NO_2,sole_proprietorships,No
NO_3,private_limited_liability,Yes
NO_3,partnerships,Yes
NO_3,sole_proprietorships,Yes
NZ_1,public_limited_liability,No
NZ_1,private_limited_liability,Yes
NZ_1,partnerships,Yes
NZ_1,sole_proprietorships,Yes
NZ_2,public_limited_liability,No
NZ_2,private_limited_liability,Yes
NZ_2,partnerships,Yes
NZ_2,sole_proprietorships,Yes
NZ_3,private_limited_liability,Yes
NZ_3,partnerships,Yes
NZ_3,sole_proprietorships,Yes
NZ_4,public_limited_liability,No
NZ_4,private_limited_liability,Yes
NZ_4,partnerships,Yes
NZ_4,sole_proprietorships,Yes
PL_1,public_limited_liability,No
PL_1,private_limited_liability,No
PL_1,partnerships,No
PL_2,public_limited_liability,No
PL_2,private_limited_liability,No
PL_2,partnerships,No
PL_3,public_limited_liability,No
PL_3,private_limited_liability,Yes
PL_3,partnerships,Yes
PT_1,public_limited_liability,No
PT_1,private_limited_liability,No
PT_1,partnerships,No
PT_2,public_limited_liability,No
PT_2,private_limited_liability,No
PT_2,partnerships,No
PT_3,public_limited_liability,No
PT_3,private_limited_liability,Yes
PT_3,partnerships,Yes
RO_1,public_limited_liability,No
RO_1,private_limited_liability,No
RO_1,partnerships,No
RO_2,public_limited_liability,No
RO_2,private_limited_liability,No
RO_2,partnerships,No
RO_3,public_limited_liability,No
RO_3,private_limited_liability,Yes
RO_3,partnerships,Yes
SE_1,public_limited_liability,No
SE_1,private_limited_liability,No
SE_1,partnerships,No
SE_2,public_limited_liability,No
SE_2,private_limited_liability,No
SE_2,partnerships,No
SE_3,public_limited_liability,No
SE_3,private_limited_liability,Yes
SE_3,partnerships,Yes
SI_1,public_limited_liability,No
SI_1,private_limited_liability,No
SI_1,partnerships,No
SI_2,public_limited_liability,No
SI_2,private_limited_liability,No
SI_2,partnerships,No
SI_3,private_limited_liability,Yes
SI_3,partnerships,Yes
SI_4,private_limited_liability,Yes
SI_4,partnerships,Yes
SI_5,private_limited_liability,Yes
SI_5,partnerships,Yes
SI_6,public_limited_liability,No
SI_6,private_limited_liability,Yes
SI_6,partnerships,Yes
SK_1,public_limited_liability,No
SK_1,private_limited_liability,No
SK_1,partnerships,No
SK_1,sole_proprietorships,No
SK_2,public_limited_liability,No
SK_2,private_limited_liability,No
SK_2,partnerships,No
SK_2,sole_proprietorships,No
SK_3,public_limited_liability,No
SK_3,private_limited_liability,Yes
SK_3,partnerships,Yes
SK_3,sole_proprietorships,Yes
TR_1,public_limited_liability,No
TR_2,public_limited_liability,No
TR_3,public_limited_liability,No
US_1,public_limited_liability,No
US_2,public_limited_liability,No
US_3,public_limited_liability,No
