"iso2","year","legal_form","number_firms_orbis","number_firms_eurostat","number_balance_sheets","number_income_statements","bs_share","is_share"
"BA",2019,"Limited liability enterprise",32279,32079,25133,25132,0.778617677127544,0.778586697233495
"BA",2019,"Partnership, co-operatives, associations, etc.",363,914,182,182,0.50137741046832,0.50137741046832
"BA",2019,"Sole proprietorship",229,42021,872,872,3.80786026200873,3.80786026200873
"BA",2020,"Limited liability enterprise",32977,NA,27208,27207,0.825059890226521,0.825029566061194
"BA",2020,"Partnership, co-operatives, associations, etc.",371,NA,191,191,0.514824797843666,0.514824797843666
"BA",2020,"Sole proprietorship",231,NA,1146,1146,4.96103896103896,4.96103896103896
"BA",2021,"Limited liability enterprise",34246,NA,12557,12557,0.366670560065409,0.366670560065409
"BA",2021,"Partnership, co-operatives, associations, etc.",376,NA,103,103,0.273936170212766,0.273936170212766
"BA",2021,"Sole proprietorship",233,NA,1040,1040,4.46351931330472,4.46351931330472
"BA",2022,"Limited liability enterprise",33975,NA,0,0,0,0
"BA",2022,"Partnership, co-operatives, associations, etc.",371,NA,0,0,0,0
"BA",2022,"Sole proprietorship",231,NA,0,0,0,0
"BE",2010,"Limited liability enterprise",396479,365106,335375,334315,0.845883388527513,0.843209854746405
"BE",2010,"Partnership, co-operatives, associations, etc.",57598,39734,16451,16330,0.285617556165145,0.283516788777388
"BE",2010,"Sole proprietorship",485405,193010,0,0,0,0
"BE",2011,"Limited liability enterprise",423011,376867,346156,345056,0.818314417355577,0.815714012165168
"BE",2011,"Partnership, co-operatives, associations, etc.",64491,42170,16275,16144,0.252360794529469,0.250329503341552
"BE",2011,"Sole proprietorship",518346,193106,0,0,0,0
"BE",2012,"Limited liability enterprise",443598,382074,357368,356263,0.805612288603646,0.803121294505385
"BE",2012,"Partnership, co-operatives, associations, etc.",71068,44644,15842,15731,0.222913266167614,0.221351381775201
"BE",2012,"Sole proprietorship",555030,193536,0,0,0,0
"BE",2013,"Limited liability enterprise",452113,380098,366179,365125,0.809928048961211,0.807596773373028
"BE",2013,"Partnership, co-operatives, associations, etc.",76871,46281,15196,15085,0.197681830599316,0.196237853026499
"BE",2013,"Sole proprietorship",593307,193813,0,0,0,0
"BE",2014,"Limited liability enterprise",458866,382197,368708,367634,0.803519981868345,0.801179429288725
"BE",2014,"Partnership, co-operatives, associations, etc.",83730,48289,13438,13318,0.160492057804849,0.159058879732473
"BE",2014,"Sole proprietorship",638152,203898,0,0,0,0
"BE",2015,"Limited liability enterprise",460103,386488,376028,374957,0.817269176684351,0.814941437026057
"BE",2015,"Partnership, co-operatives, associations, etc.",89488,50639,12983,12855,0.145080904702306,0.143650545324513
"BE",2015,"Sole proprietorship",687280,205003,0,0,0,0
"BE",2016,"Limited liability enterprise",466763,399359,385656,384489,0.82623515574285,0.823734957569473
"BE",2016,"Partnership, co-operatives, associations, etc.",95353,54436,12578,12466,0.131909850765052,0.13073526789928
"BE",2016,"Sole proprietorship",695435,205592,0,0,0,0
"BE",2017,"Limited liability enterprise",477866,409104,395290,394061,0.827198419640652,0.824626568954477
"BE",2017,"Partnership, co-operatives, associations, etc.",97927,57994,12140,12036,0.123969895942896,0.12290788035986
"BE",2017,"Sole proprietorship",698738,205902,0,0,0,0
"BE",2018,"Limited liability enterprise",492174,398478,405585,404314,0.824068317302417,0.821485897263976
"BE",2018,"Partnership, co-operatives, associations, etc.",103813,61985,11745,11645,0.113136119753788,0.1121728492578
"BE",2018,"Sole proprietorship",716254,207228,0,0,0,0
"BE",2019,"Limited liability enterprise",507037,416485,416837,415651,0.822103712352353,0.819764632561332
"BE",2019,"Partnership, co-operatives, associations, etc.",107658,64081,11752,11651,0.109160489698861,0.108222333686303
"BE",2019,"Sole proprietorship",742888,218518,0,0,0,0
"BE",2020,"Limited liability enterprise",523913,430095,427469,426251,0.81591600132083,0.813591187849891
"BE",2020,"Partnership, co-operatives, associations, etc.",110031,63946,11471,11364,0.104252437949305,0.103279984731576
"BE",2020,"Sole proprietorship",738568,222272,0,0,0,0
"BE",2021,"Limited liability enterprise",550576,NA,80493,80326,0.146197800122054,0.145894481415826
"BE",2021,"Partnership, co-operatives, associations, etc.",115101,NA,1858,1844,0.0161423445495695,0.0160207122440292
"BE",2021,"Sole proprietorship",752280,NA,0,0,0,0
"BE",2022,"Limited liability enterprise",553353,NA,10,10,1.80716468511059e-05,1.80716468511059e-05
"BE",2022,"Partnership, co-operatives, associations, etc.",114205,NA,1,1,8.75618405498884e-06,8.75618405498884e-06
"BE",2022,"Sole proprietorship",731276,NA,0,0,0,0
"BG",2010,"Limited liability enterprise",297233,193019,46805,46167,0.157469056262259,0.155322592040588
"BG",2010,"Partnership, co-operatives, associations, etc.",10243,10914,1436,1427,0.140193302743337,0.139314653909987
"BG",2010,"Sole proprietorship",559557,119939,1593,4955,0.00284689495440143,0.0088552193967728
"BG",2011,"Limited liability enterprise",336902,200668,196257,184369,0.582534386854337,0.547248161186339
"BG",2011,"Partnership, co-operatives, associations, etc.",10334,10567,5432,5343,0.525643506870525,0.517031159280047
"BG",2011,"Sole proprietorship",591175,108702,15127,18349,0.0255880238508056,0.0310381866621559
"BG",2012,"Limited liability enterprise",381222,214198,236754,222176,0.621039709145852,0.582799523637146
"BG",2012,"Partnership, co-operatives, associations, etc.",10416,10931,5740,5633,0.551075268817204,0.540802611367127
"BG",2012,"Sole proprietorship",621327,98616,18471,21728,0.0297283073164372,0.0349703135386037
"BG",2013,"Limited liability enterprise",424501,226214,249646,234973,0.5880928431264,0.553527553527554
"BG",2013,"Partnership, co-operatives, associations, etc.",10458,11300,5501,5399,0.526008797093134,0.516255498183209
"BG",2013,"Sole proprietorship",628836,89989,17237,20680,0.027410962476703,0.0328861579171676
"BG",2014,"Limited liability enterprise",462932,237966,265446,250239,0.573401709106305,0.540552392143987
"BG",2014,"Partnership, co-operatives, associations, etc.",10140,11429,5364,5242,0.528994082840237,0.516962524654832
"BG",2014,"Sole proprietorship",632723,83405,16377,19457,0.0258833644422599,0.0307512134061825
"BG",2015,"Limited liability enterprise",507680,250423,279872,264508,0.551276394579262,0.521013236684526
"BG",2015,"Partnership, co-operatives, associations, etc.",10125,11421,5125,5012,0.506172839506173,0.495012345679012
"BG",2015,"Sole proprietorship",638339,77331,15087,17831,0.0236347771325268,0.0279334334891022
"BG",2016,"Limited liability enterprise",555883,264986,295418,280270,0.531439169753347,0.504188831102948
"BG",2016,"Partnership, co-operatives, associations, etc.",10113,11065,4946,4827,0.489073469791358,0.477306437258974
"BG",2016,"Sole proprietorship",654549,71911,13094,15143,0.0200046138638971,0.023135013574232
"BG",2017,"Limited liability enterprise",602249,271368,306028,296625,0.508141981140691,0.492528837739872
