iso2,year,legal_form,number_firms_orbis,number_firms_eurostat,number_balance_sheets,number_income_statements,bs_share,is_share
BA,2022,Sole proprietorship,231,NA,0,0,0,0
BE,2010,Limited liability enterprise,396479,365106,335327,67141,0.845762323,0.169343143
BE,2010,"Partnership, co-operatives, associations, etc.",57598,39734,16450,3713,0.285600194,0.064464044
BE,2010,Sole proprietorship,485405,193010,0,0,0,0
BE,2011,Limited liability enterprise,423011,376867,346110,71013,0.818205673,0.167875067
BE,2011,"Partnership, co-operatives, associations, etc.",64491,42170,16271,3730,0.25229877,0.057837528
BE,2011,Sole proprietorship,518346,193106,0,0,0,0
BE,2012,Limited liability enterprise,443598,382074,357353,74365,0.805578474,0.167640521
BE,2012,"Partnership, co-operatives, associations, etc.",71068,44644,15840,3643,0.222885124,0.051260764
BE,2012,Sole proprietorship,555030,193536,0,0,0,0
BE,2013,Limited liability enterprise,452113,380098,366164,60259,0.809894871,0.133283051
BE,2013,"Partnership, co-operatives, associations, etc.",76871,46281,15195,2982,0.197668822,0.038792262
BE,2013,Sole proprietorship,593307,193813,0,0,0,0
BE,2014,Limited liability enterprise,458866,382197,368698,56107,0.803498189,0.122273169
BE,2014,"Partnership, co-operatives, associations, etc.",83730,48289,13437,2583,0.160480115,0.030849158
BE,2014,Sole proprietorship,638152,203898,0,0,0,0
BE,2015,Limited liability enterprise,460103,386488,376021,53841,0.817253963,0.11701945
BE,2015,"Partnership, co-operatives, associations, etc.",89488,50639,12983,2437,0.145080905,0.027232702
BE,2015,Sole proprietorship,687280,205003,0,0,0,0
BE,2016,Limited liability enterprise,466763,399359,385643,50130,0.826207304,0.107399258
BE,2016,"Partnership, co-operatives, associations, etc.",95353,54436,12578,2255,0.131909851,0.023648968
BE,2016,Sole proprietorship,695435,205592,0,0,0,0
BE,2017,Limited liability enterprise,477866,409104,395278,47524,0.827173308,0.099450474
BE,2017,"Partnership, co-operatives, associations, etc.",97927,57994,12139,2088,0.123959684,0.021322005
BE,2017,Sole proprietorship,698738,205902,0,0,0,0
BE,2018,Limited liability enterprise,492174,398478,405575,45540,0.824047999,0.092528252
BE,2018,"Partnership, co-operatives, associations, etc.",103813,61985,11744,1923,0.113126487,0.018523692
BE,2018,Sole proprietorship,716254,207228,0,0,0,0
BE,2019,Limited liability enterprise,507037,416485,416818,44174,0.82206624,0.087121847
BE,2019,"Partnership, co-operatives, associations, etc.",107658,64081,11752,1857,0.10916049,0.017249066
BE,2019,Sole proprietorship,742888,218518,0,0,0,0
BE,2020,Limited liability enterprise,523913,430095,427461,41818,0.815900732,0.079818596
BE,2020,"Partnership, co-operatives, associations, etc.",110031,63946,11471,1721,0.104252438,0.015641047
BE,2020,Sole proprietorship,738568,222272,0,0,0,0
BE,2021,Limited liability enterprise,550576,NA,80492,5729,0.146195984,0.010405466
BE,2021,"Partnership, co-operatives, associations, etc.",115101,NA,1858,230,0.016142345,0.001998245
BE,2021,Sole proprietorship,752280,NA,0,0,0,0
BE,2022,Limited liability enterprise,553353,NA,10,2,1.81E-05,3.61E-06
